city,city_code,province,region,lat,lon,year,month,year_month,avg_temp,min_temp,max_temp,precipitation,wind_speed,apparent_temp,wind_gusts,weather_code,comfort_index
七台河市,230900,黑龙江省,东北,45.77,131.02,2021,4,2021-04,9.16,3.36,15.01,13.5,22.31,4.94,50.56,3,-0.66
七台河市,230900,黑龙江省,东北,45.77,131.02,2021,5,2021-05,13.89,8.52,19.37,98.6,19.98,11.33,45.89,63,6.29
七台河市,230900,黑龙江省,东北,45.77,131.02,2021,6,2021-06,19.11,14.26,23.82,97.4,15.49,18.96,35.42,51,15.04
七台河市,230900,黑龙江省,东北,45.77,131.02,2021,7,2021-07,24.77,20.85,29.08,85.3,12.58,27.92,28.7,51,24.73
七台河市,230900,黑龙江省,东北,45.77,131.02,2021,8,2021-08,20.4,16.93,24.43,78.1,15.67,21.04,37.92,51,17.08
七台河市,230900,黑龙江省,东北,45.77,131.02,2021,9,2021-09,14.87,10.51,19.33,102.8,15.39,13.74,35.01,3,9.84
七台河市,230900,黑龙江省,东北,45.77,131.02,2021,10,2021-10,6.07,2.07,10.69,30.2,19.26,2.17,42.16,3,-2.66
七台河市,230900,黑龙江省,东北,45.77,131.02,2021,11,2021-11,-2.63,-5.95,1.33,56.4,19.95,-7.48,42.93,3,-12.49
七台河市,230900,黑龙江省,东北,45.77,131.02,2021,12,2021-12,-14.31,-17.95,-10.71,7.3,20.71,-20.01,43.62,3,-25.19
七台河市,230900,黑龙江省,东北,45.77,131.02,2022,1,2022-01,-17.37,-20.4,-13.54,4.8,18.16,-23.05,38.32,71,-27.6
七台河市,230900,黑龙江省,东北,45.77,131.02,2022,2,2022-02,-12.26,-15.83,-8.36,9.1,19.82,-17.89,42.82,3,-22.85
七台河市,230900,黑龙江省,东北,45.77,131.02,2022,3,2022-03,-1.57,-5.8,3.07,28.2,20.52,-6.79,44.84,3,-11.94
七台河市,230900,黑龙江省,东北,45.77,131.02,2022,4,2022-04,7.56,1.56,13.63,47.6,24.49,2.73,52.68,3,-3.42
七台河市,230900,黑龙江省,东北,45.77,131.02,2022,5,2022-05,13.38,7.33,19.59,81.8,21.22,10.31,46.82,51,4.96
七台河市,230900,黑龙江省,东北,45.77,131.02,2022,6,2022-06,18.14,13.34,23.24,84.2,15.98,17.7,35.0,51,13.66
七台河市,230900,黑龙江省,东北,45.77,131.02,2022,7,2022-07,22.02,18.22,26.32,132.1,14.28,24.05,31.8,51,20.42
七台河市,230900,黑龙江省,东北,45.77,131.02,2022,8,2022-08,19.62,15.65,24.13,118.1,18.37,19.91,40.52,51,15.26
七台河市,230900,黑龙江省,东北,45.77,131.02,2022,9,2022-09,15.25,10.76,19.99,89.5,20.48,13.49,43.26,3,8.32
