time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon,city_code
2021-04-18,3,15.2,22.3,8.1,11.2,0.0,16.3,33.5,176,商丘市,河南省,华中,34.437054,115.650497,411400
2021-04-19,3,17.8,25.8,9.5,15.0,0.0,15.2,33.8,174,商丘市,河南省,华中,34.437054,115.650497,411400
2021-04-20,61,15.1,17.5,13.2,13.8,10.8,16.6,32.8,94,商丘市,河南省,华中,34.437054,115.650497,411400
2021-04-21,61,13.9,15.9,12.4,13.1,11.3,15.3,30.6,48,商丘市,河南省,华中,34.437054,115.650497,411400
2021-04-22,53,16.0,20.0,12.2,15.2,2.1,15.2,31.3,356,商丘市,河南省,华中,34.437054,115.650497,411400
2021-04-23,3,15.4,21.0,10.9,13.7,0.0,18.4,34.9,12,商丘市,河南省,华中,34.437054,115.650497,411400
2021-04-24,3,15.1,18.5,11.5,12.6,0.0,21.1,42.1,21,商丘市,河南省,华中,34.437054,115.650497,411400
2021-04-25,51,14.3,16.6,11.9,12.5,2.8,17.7,31.7,27,商丘市,河南省,华中,34.437054,115.650497,411400
2021-04-26,51,13.8,18.9,10.1,13.0,0.1,9.6,22.0,259,商丘市,河南省,华中,34.437054,115.650497,411400
2021-04-27,3,17.3,24.0,11.6,15.7,0.0,16.4,34.9,230,商丘市,河南省,华中,34.437054,115.650497,411400
2021-04-28,3,18.6,23.3,14.7,15.4,0.0,18.0,37.4,270,商丘市,河南省,华中,34.437054,115.650497,411400
2021-04-29,3,20.2,28.5,14.1,16.3,0.0,30.3,69.1,256,商丘市,河南省,华中,34.437054,115.650497,411400
2021-04-30,3,20.4,29.6,13.8,17.2,0.0,31.4,65.2,265,商丘市,河南省,华中,34.437054,115.650497,411400
2021-05-01,2,18.1,25.7,10.2,15.9,0.0,18.6,33.5,291,商丘市,河南省,华中,34.437054,115.650497,411400
2021-05-02,3,17.5,22.6,12.4,13.4,0.0,21.0,39.2,94,商丘市,河南省,华中,34.437054,115.650497,411400
2021-05-03,63,15.3,17.5,13.1,13.7,12.7,13.7,36.7,72,商丘市,河南省,华中,34.437054,115.650497,411400
2021-05-04,3,17.4,23.9,11.4,15.6,0.0,23.4,47.5,353,商丘市,河南省,华中,34.437054,115.650497,411400
2021-05-05,3,18.7,26.5,10.5,16.5,0.0,14.8,27.0,222,商丘市,河南省,华中,34.437054,115.650497,411400
2021-05-06,3,22.1,29.0,15.8,19.7,0.0,25.8,49.3,215,商丘市,河南省,华中,34.437054,115.650497,411400
2021-05-07,3,20.8,25.9,16.9,17.8,0.0,22.4,41.4,288,商丘市,河南省,华中,34.437054,115.650497,411400
2021-05-08,0,23.4,32.8,14.6,22.1,0.0,18.8,39.2,218,商丘市,河南省,华中,34.437054,115.650497,411400
2021-05-09,2,26.1,32.8,19.8,27.8,0.0,14.2,29.9,172,商丘市,河南省,华中,34.437054,115.650497,411400
2021-05-10,3,25.2,31.0,20.5,26.4,0.0,22.0,44.3,1,商丘市,河南省,华中,34.437054,115.650497,411400
2021-05-11,51,20.8,25.4,16.9,20.2,0.4,18.2,33.8,48,商丘市,河南省,华中,34.437054,115.650497,411400
2021-05-12,3,21.5,27.9,15.1,22.0,0.0,10.5,23.0,126,商丘市,河南省,华中,34.437054,115.650497,411400
2021-05-13,51,21.5,25.3,16.8,22.5,0.2,15.9,33.8,116,商丘市,河南省,华中,34.437054,115.650497,411400
2021-05-14,61,21.3,24.8,19.0,23.3,7.9,13.3,27.7,86,商丘市,河南省,华中,34.437054,115.650497,411400
2021-05-15,61,21.6,25.8,18.8,23.1,8.3,23.0,41.8,36,商丘市,河南省,华中,34.437054,115.650497,411400
2021-05-16,55,14.7,18.5,11.9,11.7,5.4,27.8,53.3,356,商丘市,河南省,华中,34.437054,115.650497,411400
2021-05-17,3,17.7,23.4,11.6,16.7,0.0,9.0,22.3,269,商丘市,河南省,华中,34.437054,115.650497,411400
2021-05-18,3,19.0,25.0,11.6,18.6,0.0,13.4,31.3,194,商丘市,河南省,华中,34.437054,115.650497,411400
2021-05-19,3,18.9,22.8,14.1,18.9,0.0,18.0,36.4,165,商丘市,河南省,华中,34.437054,115.650497,411400
2021-05-20,55,20.9,26.7,15.9,21.2,1.3,14.9,33.5,165,商丘市,河南省,华中,34.437054,115.650497,411400
2021-05-21,3,23.2,29.4,16.9,24.4,0.0,13.0,30.2,173,商丘市,河南省,华中,34.437054,115.650497,411400
2021-05-22,3,25.6,30.9,19.0,27.0,0.0,12.5,29.9,168,商丘市,河南省,华中,34.437054,115.650497,411400
