time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon
2021-04-16,0,14.2,22.8,4.1,9.1,0.0,21.6,38.9,148,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-04-17,3,15.7,21.9,8.6,10.5,0.0,23.2,43.6,220,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-04-18,51,14.5,20.1,7.8,11.4,0.1,15.2,32.8,333,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-04-19,51,14.2,22.2,8.5,10.6,0.4,34.5,64.8,285,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-04-20,3,15.2,23.0,7.2,11.7,0.0,18.1,35.6,107,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-04-21,53,13.2,18.9,6.2,9.5,1.6,22.5,37.8,324,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-04-22,73,3.3,7.1,0.3,-1.2,5.4,18.5,33.5,332,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-04-23,71,3.5,7.2,0.9,-1.8,0.1,23.2,43.2,332,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-04-24,71,0.4,3.2,-2.5,-3.6,0.4,12.8,26.6,336,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-04-25,3,4.4,10.4,-2.2,0.1,0.0,12.4,23.8,285,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-04-26,3,8.0,14.9,0.9,3.9,0.0,12.0,27.7,337,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-04-27,3,13.8,21.4,6.3,10.5,0.0,14.0,26.3,87,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-04-28,3,17.8,25.6,9.6,13.3,0.0,21.8,36.0,134,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-04-29,2,20.0,28.8,10.6,16.1,0.0,14.8,31.3,161,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-04-30,0,23.4,32.5,14.0,18.6,0.0,28.5,46.4,166,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-05-01,61,18.6,26.5,10.6,13.8,6.9,36.5,73.8,254,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-05-02,3,12.0,16.0,8.4,7.7,0.0,25.8,48.6,335,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-05-03,3,12.2,17.9,4.8,8.3,0.0,14.0,31.3,349,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-05-04,3,16.0,23.4,7.2,11.1,0.0,25.6,47.5,128,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-05-05,0,17.9,26.8,7.2,13.9,0.0,15.1,28.8,84,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-05-06,2,21.7,29.8,12.9,17.4,0.0,24.2,39.6,162,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-05-07,3,23.3,31.6,14.4,18.9,0.0,23.0,38.2,227,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-05-08,3,22.3,26.8,16.8,19.4,0.0,22.7,38.5,313,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-05-09,51,21.6,27.1,15.2,20.3,0.5,15.4,32.4,335,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-05-10,3,22.3,28.9,16.1,19.1,0.0,24.8,45.0,285,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-05-11,53,17.1,19.0,15.1,15.2,1.0,22.0,41.4,299,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-05-12,61,15.3,21.5,8.9,13.0,6.7,34.7,58.7,298,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-05-13,3,13.1,18.2,7.1,9.2,0.0,21.5,41.4,300,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-05-14,3,15.8,21.5,9.0,12.0,0.0,17.4,28.8,262,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-05-15,3,14.9,20.0,9.4,11.9,0.0,21.5,35.6,314,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-05-16,51,15.2,19.3,11.1,12.7,0.8,17.4,32.4,267,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-05-17,53,16.3,22.3,10.9,14.1,2.6,25.6,42.1,274,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-05-18,2,20.1,26.0,13.9,16.5,0.0,18.5,37.1,239,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-05-19,0,21.5,28.8,12.6,17.5,0.0,27.7,45.4,172,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-05-20,61,19.1,25.5,12.2,16.0,4.9,35.5,61.9,314,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-05-21,51,14.1,19.4,9.7,9.0,0.1,38.2,67.3,315,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-05-22,3,11.6,16.5,6.9,8.3,0.0,9.8,22.0,102,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-05-23,0,17.2,24.2,9.2,14.1,0.0,13.0,30.6,44,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-05-24,0,20.3,28.2,10.6,16.6,0.0,22.0,35.3,138,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-05-25,0,23.2,29.9,15.9,19.7,0.0,14.2,30.2,303,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-05-26,0,25.6,32.7,18.4,21.8,0.0,18.9,32.4,165,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-05-27,3,26.4,33.8,17.0,22.8,0.0,24.5,39.2,194,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-05-28,3,26.1,31.5,21.9,22.3,0.0,30.0,52.6,271,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-05-29,3,23.3,29.1,18.6,21.1,0.0,28.6,49.7,254,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-05-30,3,24.5,30.0,19.5,21.2,0.0,21.3,42.1,311,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-05-31,3,25.3,31.2,19.2,21.0,0.0,20.5,40.0,279,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-06-01,3,26.1,32.2,20.0,22.3,0.0,17.3,34.9,272,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-06-02,1,27.5,33.3,21.0,24.5,0.0,17.9,29.9,194,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-06-03,3,29.8,36.0,23.0,25.8,0.0,29.5,56.2,173,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-06-04,3,27.4,32.2,23.0,24.6,0.0,19.7,36.7,258,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-06-05,61,24.2,30.6,16.8,22.0,5.0,27.8,60.1,305,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-06-06,63,17.1,21.1,13.8,15.3,3.2,16.4,35.3,4,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-06-07,3,20.2,26.4,13.1,17.4,0.0,14.9,33.8,23,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-06-08,3,24.8,32.3,16.2,20.2,0.0,41.2,70.9,155,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-06-09,3,23.5,28.0,18.0,21.0,0.0,19.7,39.6,278,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-06-10,51,24.2,29.9,17.0,22.0,0.1,25.3,43.9,237,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-06-11,3,22.8,26.8,19.0,20.9,0.0,18.9,32.0,300,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-06-12,3,21.7,25.1,16.8,19.2,0.0,17.2,34.6,321,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-06-13,53,17.8,21.5,14.9,14.9,0.7,20.9,39.6,320,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-06-14,53,15.4,20.5,11.8,12.6,2.8,21.3,37.1,314,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-06-15,1,18.7,24.9,13.1,15.4,0.0,13.6,30.6,304,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-06-16,3,21.0,28.2,12.6,17.2,0.0,22.7,37.1,173,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-06-17,3,23.8,29.9,15.8,20.0,0.0,20.2,33.8,166,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-06-18,3,25.4,31.8,16.5,22.3,0.0,17.3,31.0,255,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-06-19,51,24.8,28.1,21.7,22.2,0.1,25.8,42.8,256,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-06-20,55,23.0,30.2,15.4,20.5,2.7,37.9,63.7,289,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-06-21,53,19.2,25.5,13.9,17.4,1.2,15.6,32.4,348,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-06-22,51,21.2,28.5,15.9,18.5,0.3,33.9,57.6,273,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-06-23,3,18.0,22.4,13.1,15.7,0.0,15.8,32.0,330,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-06-24,3,22.4,29.6,12.6,19.2,0.0,22.5,42.5,82,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-06-25,51,19.1,22.1,16.1,15.9,0.5,29.1,53.3,302,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-06-26,51,17.6,23.7,12.4,15.8,0.2,18.0,34.6,320,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-06-27,3,17.5,20.6,13.6,15.1,0.0,23.9,43.6,313,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-06-28,0,20.2,27.5,12.6,17.9,0.0,13.3,28.4,352,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-06-29,3,23.3,30.1,14.6,20.4,0.0,15.6,32.4,349,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-06-30,3,25.2,29.9,19.0,21.9,0.0,25.2,47.2,277,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-07-01,1,26.5,32.0,21.0,23.7,0.0,21.1,37.4,291,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-07-02,0,27.5,33.2,21.5,25.0,0.0,21.2,38.2,279,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-07-03,1,28.6,33.5,24.1,26.5,0.0,18.7,37.1,307,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-07-04,3,29.0,35.3,21.2,26.9,0.0,15.6,32.4,15,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-07-05,3,30.3,37.6,21.9,27.7,0.0,24.4,41.8,173,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-07-06,3,30.7,36.8,23.5,28.6,0.0,22.4,36.4,185,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-07-07,3,30.5,35.0,25.8,28.4,0.0,22.4,39.6,271,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-07-08,3,29.3,34.0,24.5,28.0,0.0,17.5,47.5,267,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-07-09,3,30.1,35.0,24.5,28.3,0.0,23.8,40.3,246,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-07-10,2,31.6,37.7,24.1,28.8,0.0,30.9,54.4,164,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-07-11,3,28.2,32.3,24.4,26.6,0.0,21.0,40.7,277,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-07-12,3,24.7,28.8,18.5,23.3,0.0,26.3,53.6,324,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-07-13,3,25.9,31.4,19.4,24.2,0.0,22.1,43.2,20,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-07-14,3,25.0,29.9,21.5,23.9,0.0,14.0,29.9,292,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-07-15,2,25.3,32.0,18.1,24.4,0.0,17.1,29.2,316,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-07-16,3,28.2,36.7,20.8,26.1,0.0,28.8,51.5,222,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-07-17,3,23.1,26.3,19.8,21.5,0.0,19.8,43.6,333,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-07-18,3,22.5,27.1,18.8,20.8,0.0,20.6,38.9,317,乌鲁木齐,新疆,西北,43.8256,87.6168
2021-07-19,3,23.7,30.0,17.6,22.0,0.0,14.4,26.6,293,乌鲁木齐,新疆,西北,43.8256,87.6168
