time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon
2021-04-16,1,9.4,16.4,1.9,5.5,0.0,17.4,37.8,61,兰州,甘肃,西北,36.0611,103.8343
2021-04-17,3,9.9,16.6,2.2,6.6,0.0,8.7,23.0,37,兰州,甘肃,西北,36.0611,103.8343
2021-04-18,3,14.6,23.4,7.6,12.1,0.0,20.9,45.0,111,兰州,甘肃,西北,36.0611,103.8343
2021-04-19,55,12.3,16.3,8.7,9.6,2.8,18.0,39.2,106,兰州,甘肃,西北,36.0611,103.8343
2021-04-20,3,13.9,19.6,9.4,11.4,0.0,16.7,36.4,141,兰州,甘肃,西北,36.0611,103.8343
2021-04-21,3,16.3,25.2,9.3,14.0,0.0,16.3,38.5,117,兰州,甘肃,西北,36.0611,103.8343
2021-04-22,51,15.6,23.5,8.8,13.5,0.4,23.3,46.8,119,兰州,甘肃,西北,36.0611,103.8343
2021-04-23,55,15.7,22.2,9.2,14.4,3.4,16.7,35.6,111,兰州,甘肃,西北,36.0611,103.8343
2021-04-24,63,9.6,13.5,6.4,6.7,13.7,29.6,63.7,65,兰州,甘肃,西北,36.0611,103.8343
2021-04-25,53,8.7,11.1,6.3,6.1,1.3,13.7,28.4,40,兰州,甘肃,西北,36.0611,103.8343
2021-04-26,3,8.6,13.5,3.3,4.8,0.0,16.5,34.2,63,兰州,甘肃,西北,36.0611,103.8343
2021-04-27,51,7.9,13.3,3.2,4.1,0.1,21.3,45.7,61,兰州,甘肃,西北,36.0611,103.8343
2021-04-28,3,10.3,19.2,2.4,6.8,0.0,17.4,46.4,305,兰州,甘肃,西北,36.0611,103.8343
2021-04-29,2,15.5,24.7,6.6,12.0,0.0,16.7,39.6,322,兰州,甘肃,西北,36.0611,103.8343
2021-04-30,2,16.7,25.5,6.6,13.6,0.0,14.2,32.8,3,兰州,甘肃,西北,36.0611,103.8343
2021-05-01,3,19.4,27.5,11.7,16.5,0.0,21.8,45.0,115,兰州,甘肃,西北,36.0611,103.8343
2021-05-02,53,19.4,24.1,14.1,18.2,0.7,15.3,37.4,108,兰州,甘肃,西北,36.0611,103.8343
2021-05-03,3,13.9,17.6,9.5,9.9,0.0,25.4,54.4,44,兰州,甘肃,西北,36.0611,103.8343
