time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon
2021-04-16,3,11.4,17.6,4.1,5.5,0.0,32.8,59.4,309,北京,北京,华北,39.9042,116.4074
2021-04-17,0,13.1,20.3,6.6,7.4,0.0,25.9,45.7,298,北京,北京,华北,39.9042,116.4074
2021-04-18,0,15.5,24.6,5.2,10.8,0.0,26.1,45.7,218,北京,北京,华北,39.9042,116.4074
2021-04-19,3,18.6,28.0,8.6,15.6,0.0,21.3,40.0,216,北京,北京,华北,39.9042,116.4074
2021-04-20,3,20.5,27.0,13.2,17.9,0.0,22.9,41.0,197,北京,北京,华北,39.9042,116.4074
2021-04-21,3,17.4,22.6,12.2,14.4,0.0,23.5,42.8,186,北京,北京,华北,39.9042,116.4074
2021-04-22,53,12.9,16.8,10.6,10.7,2.9,13.0,28.4,84,北京,北京,华北,39.9042,116.4074
2021-04-23,3,15.4,22.5,8.6,13.2,0.0,21.8,40.7,74,北京,北京,华北,39.9042,116.4074
2021-04-24,3,16.4,21.5,10.9,14.4,0.0,14.1,29.5,58,北京,北京,华北,39.9042,116.4074
2021-04-25,3,16.3,21.4,11.6,14.0,0.0,18.3,28.8,164,北京,北京,华北,39.9042,116.4074
2021-04-26,51,16.1,21.6,11.6,12.4,0.1,23.0,37.4,195,北京,北京,华北,39.9042,116.4074
2021-04-27,3,16.4,22.1,7.4,11.4,0.0,31.9,56.5,310,北京,北京,华北,39.9042,116.4074
2021-04-28,2,16.8,23.1,9.4,12.0,0.0,24.4,43.2,225,北京,北京,华北,39.9042,116.4074
2021-04-29,3,15.1,21.0,8.2,9.4,0.0,35.2,63.7,338,北京,北京,华北,39.9042,116.4074
2021-04-30,51,11.3,13.9,8.6,7.4,0.6,19.4,33.1,275,北京,北京,华北,39.9042,116.4074
2021-05-01,0,13.5,20.5,4.3,8.0,0.0,33.8,59.0,349,北京,北京,华北,39.9042,116.4074
2021-05-02,3,14.4,20.9,5.8,9.7,0.0,26.3,47.2,207,北京,北京,华北,39.9042,116.4074
2021-05-03,3,17.2,23.3,10.2,14.3,0.0,20.5,36.4,203,北京,北京,华北,39.9042,116.4074
2021-05-04,3,17.6,23.1,11.6,12.4,0.0,37.7,70.2,311,北京,北京,华北,39.9042,116.4074
2021-05-05,2,19.0,27.9,9.6,13.4,0.0,36.5,62.3,218,北京,北京,华北,39.9042,116.4074
2021-05-06,3,19.9,29.0,13.9,14.5,0.0,38.8,72.0,274,北京,北京,华北,39.9042,116.4074
2021-05-07,2,20.2,27.0,12.9,14.5,0.0,38.0,60.5,266,北京,北京,华北,39.9042,116.4074
2021-05-08,3,20.9,26.1,16.2,15.3,0.0,34.4,61.2,341,北京,北京,华北,39.9042,116.4074
2021-05-09,51,19.5,27.0,11.6,15.8,0.1,16.6,31.7,122,北京,北京,华北,39.9042,116.4074
2021-05-10,3,18.9,25.4,12.2,15.8,0.0,21.1,35.3,148,北京,北京,华北,39.9042,116.4074
2021-05-11,3,17.7,25.0,9.8,15.4,0.0,21.3,39.2,160,北京,北京,华北,39.9042,116.4074
2021-05-12,3,20.1,27.1,12.1,18.7,0.0,11.8,27.4,80,北京,北京,华北,39.9042,116.4074
2021-05-13,3,20.4,25.8,15.1,19.9,0.0,12.5,24.8,126,北京,北京,华北,39.9042,116.4074
2021-05-14,51,20.2,26.5,15.6,20.3,0.2,19.4,33.8,119,北京,北京,华北,39.9042,116.4074
2021-05-15,53,18.4,21.0,17.1,15.3,0.7,32.8,55.8,9,北京,北京,华北,39.9042,116.4074
2021-05-16,51,20.0,25.8,15.8,16.2,0.7,28.2,45.4,310,北京,北京,华北,39.9042,116.4074
2021-05-17,3,21.7,30.6,10.6,18.8,0.0,19.5,34.9,233,北京,北京,华北,39.9042,116.4074
2021-05-18,3,23.9,32.2,14.9,21.2,0.0,21.2,40.3,216,北京,北京,华北,39.9042,116.4074
2021-05-19,3,24.0,30.7,15.6,22.3,0.0,23.1,41.4,208,北京,北京,华北,39.9042,116.4074
2021-05-20,3,23.0,27.1,18.9,22.3,0.0,18.2,34.2,203,北京,北京,华北,39.9042,116.4074
2021-05-21,2,23.6,30.6,16.0,23.5,0.0,22.6,39.6,209,北京,北京,华北,39.9042,116.4074
2021-05-22,63,25.6,32.7,18.1,26.1,9.9,31.8,58.0,218,北京,北京,华北,39.9042,116.4074
2021-05-23,63,20.4,27.0,14.9,17.2,12.1,29.3,54.0,320,北京,北京,华北,39.9042,116.4074
2021-05-24,3,18.5,23.0,12.1,14.9,0.0,22.2,40.7,271,北京,北京,华北,39.9042,116.4074
2021-05-25,2,19.4,27.8,9.4,15.8,0.0,23.2,42.8,209,北京,北京,华北,39.9042,116.4074
2021-05-26,3,20.6,28.1,13.8,17.7,0.0,23.1,58.7,359,北京,北京,华北,39.9042,116.4074
2021-05-27,3,20.4,27.0,12.6,17.6,0.0,26.3,49.3,318,北京,北京,华北,39.9042,116.4074
2021-05-28,3,22.5,29.1,17.6,18.4,0.0,33.3,57.2,328,北京,北京,华北,39.9042,116.4074
2021-05-29,3,21.0,26.6,15.6,18.3,0.0,25.9,41.8,76,北京,北京,华北,39.9042,116.4074
2021-05-30,51,20.7,27.2,14.6,19.2,0.2,19.5,31.7,159,北京,北京,华北,39.9042,116.4074
2021-05-31,53,17.5,22.6,13.4,17.3,2.2,10.1,33.8,70,北京,北京,华北,39.9042,116.4074
2021-06-01,3,20.7,27.8,12.9,19.9,0.0,20.0,39.2,129,北京,北京,华北,39.9042,116.4074
2021-06-02,51,21.8,27.1,17.5,20.6,0.1,29.4,52.2,356,北京,北京,华北,39.9042,116.4074
2021-06-03,3,22.1,28.9,16.9,17.9,0.0,24.2,43.6,322,北京,北京,华北,39.9042,116.4074
2021-06-04,0,24.2,30.2,14.7,20.4,0.0,31.3,55.1,322,北京,北京,华北,39.9042,116.4074
2021-06-05,3,25.5,33.4,15.5,22.7,0.0,18.9,38.5,319,北京,北京,华北,39.9042,116.4074
2021-06-06,51,25.4,33.2,18.0,23.3,0.2,19.0,30.6,70,北京,北京,华北,39.9042,116.4074
2021-06-07,51,24.0,28.8,19.9,23.2,0.1,18.0,36.7,78,北京,北京,华北,39.9042,116.4074
2021-06-08,51,24.3,30.8,17.5,25.3,0.3,10.5,22.7,98,北京,北京,华北,39.9042,116.4074
2021-06-09,61,22.0,25.5,19.6,24.4,16.1,14.1,24.8,24,北京,北京,华北,39.9042,116.4074
2021-06-10,53,24.1,30.6,18.5,24.4,2.1,19.6,31.0,304,北京,北京,华北,39.9042,116.4074
2021-06-11,3,26.4,34.7,17.4,26.6,0.0,20.0,34.9,215,北京,北京,华北,39.9042,116.4074
2021-06-12,3,28.8,36.0,20.4,29.4,0.0,19.4,36.4,207,北京,北京,华北,39.9042,116.4074
2021-06-13,63,27.9,34.0,22.8,30.4,4.6,19.5,39.2,174,北京,北京,华北,39.9042,116.4074
2021-06-14,51,25.3,28.4,23.1,28.8,1.1,13.5,28.4,115,北京,北京,华北,39.9042,116.4074
2021-06-15,51,25.7,31.5,22.2,27.2,0.1,20.1,34.6,122,北京,北京,华北,39.9042,116.4074
2021-06-16,61,21.9,23.6,19.9,23.2,5.1,14.4,28.1,163,北京,北京,华北,39.9042,116.4074
2021-06-17,3,25.6,32.7,19.7,24.5,0.0,26.6,47.2,303,北京,北京,华北,39.9042,116.4074
2021-06-18,3,26.9,33.7,19.5,23.6,0.0,25.8,46.4,293,北京,北京,华北,39.9042,116.4074
2021-06-19,1,28.4,36.7,19.0,24.9,0.0,28.9,50.4,310,北京,北京,华北,39.9042,116.4074
2021-06-20,3,29.2,37.0,19.5,26.4,0.0,19.8,32.8,310,北京,北京,华北,39.9042,116.4074
2021-06-21,2,28.8,35.8,21.2,26.8,0.0,21.1,37.4,65,北京,北京,华北,39.9042,116.4074
2021-06-22,3,27.6,33.2,21.6,26.9,0.0,21.1,39.6,168,北京,北京,华北,39.9042,116.4074
2021-06-23,53,24.4,29.0,21.2,24.5,0.8,15.6,30.2,139,北京,北京,华北,39.9042,116.4074
2021-06-24,3,24.5,29.4,21.2,25.4,0.0,18.8,35.6,209,北京,北京,华北,39.9042,116.4074
2021-06-25,53,25.0,30.5,21.1,26.9,4.0,19.7,35.6,176,北京,北京,华北,39.9042,116.4074
2021-06-26,61,24.7,30.9,19.7,27.1,2.8,28.8,63.4,53,北京,北京,华北,39.9042,116.4074
2021-06-27,3,27.0,32.2,21.2,30.0,0.0,13.7,22.0,90,北京,北京,华北,39.9042,116.4074
2021-06-28,51,27.4,33.1,22.9,30.3,0.3,16.8,36.4,132,北京,北京,华北,39.9042,116.4074
2021-06-29,61,25.0,28.6,21.4,27.5,6.4,18.2,34.6,136,北京,北京,华北,39.9042,116.4074
2021-06-30,63,26.2,32.7,19.0,29.4,4.0,24.5,43.6,65,北京,北京,华北,39.9042,116.4074
2021-07-01,65,24.0,32.2,19.1,26.6,14.9,13.8,35.3,143,北京,北京,华北,39.9042,116.4074
2021-07-02,61,24.8,32.5,17.9,26.9,2.6,18.4,36.7,179,北京,北京,华北,39.9042,116.4074
2021-07-03,63,23.2,26.8,20.0,25.6,41.8,16.6,28.8,43,北京,北京,华北,39.9042,116.4074
2021-07-04,51,25.4,31.1,19.7,28.8,0.1,17.4,32.8,191,北京,北京,华北,39.9042,116.4074
2021-07-05,63,25.7,30.9,22.1,29.2,9.6,10.2,31.3,351,北京,北京,华北,39.9042,116.4074
2021-07-06,65,24.5,28.9,20.8,28.2,16.7,10.7,35.3,23,北京,北京,华北,39.9042,116.4074
2021-07-07,3,26.3,31.4,21.4,30.6,0.0,13.5,24.5,263,北京,北京,华北,39.9042,116.4074
2021-07-08,3,26.6,31.7,21.8,31.2,0.0,9.2,20.2,191,北京,北京,华北,39.9042,116.4074
2021-07-09,3,26.8,31.7,21.5,31.1,0.0,10.6,20.9,50,北京,北京,华北,39.9042,116.4074
2021-07-10,3,28.1,33.0,23.2,33.3,0.0,8.8,19.8,65,北京,北京,华北,39.9042,116.4074
2021-07-11,61,27.5,32.8,23.9,32.5,2.6,21.8,35.3,79,北京,北京,华北,39.9042,116.4074
2021-07-12,65,24.5,27.5,22.9,28.0,72.7,29.2,71.3,36,北京,北京,华北,39.9042,116.4074
2021-07-13,53,26.0,30.1,23.0,31.6,2.6,7.6,21.6,57,北京,北京,华北,39.9042,116.4074
2021-07-14,53,26.8,30.4,24.2,32.4,2.6,10.6,21.6,105,北京,北京,华北,39.9042,116.4074
2021-07-15,51,27.6,31.6,24.3,32.4,0.2,11.4,22.0,105,北京,北京,华北,39.9042,116.4074
2021-07-16,51,26.8,30.0,24.0,30.8,0.3,14.5,23.4,82,北京,北京,华北,39.9042,116.4074
2021-07-17,61,25.9,28.6,23.6,29.9,12.6,15.9,31.0,103,北京,北京,华北,39.9042,116.4074
2021-07-18,63,24.6,26.6,23.0,29.5,26.4,8.6,18.0,66,北京,北京,华北,39.9042,116.4074
2021-07-19,63,25.4,29.5,22.7,30.3,24.1,12.3,27.0,90,北京,北京,华北,39.9042,116.4074
2021-07-20,61,26.4,29.8,22.9,31.0,5.4,9.8,20.9,128,北京,北京,华北,39.9042,116.4074
2021-07-21,63,25.0,27.0,22.2,29.7,10.6,10.8,22.7,39,北京,北京,华北,39.9042,116.4074
2021-07-22,63,24.5,27.1,21.9,29.0,21.1,12.6,32.4,22,北京,北京,华北,39.9042,116.4074
2021-07-23,3,25.8,30.6,21.2,29.9,0.0,14.8,25.6,180,北京,北京,华北,39.9042,116.4074
2021-07-24,51,27.2,31.5,22.5,31.9,0.3,15.7,31.7,202,北京,北京,华北,39.9042,116.4074
2021-07-25,51,28.4,31.8,24.8,33.1,0.5,16.7,38.9,187,北京,北京,华北,39.9042,116.4074
2021-07-26,61,27.5,29.9,25.0,32.6,3.1,14.2,29.5,191,北京,北京,华北,39.9042,116.4074
2021-07-27,61,24.7,26.9,23.4,29.1,14.1,12.3,34.6,12,北京,北京,华北,39.9042,116.4074
2021-07-28,63,24.4,25.8,23.1,28.6,41.4,9.9,18.0,23,北京,北京,华北,39.9042,116.4074
2021-07-29,61,23.5,24.9,21.9,26.3,21.7,18.1,31.0,356,北京,北京,华北,39.9042,116.4074
2021-07-30,61,24.3,28.0,21.8,26.1,7.9,21.3,34.6,358,北京,北京,华北,39.9042,116.4074
