time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon
2021-04-17,3,14.9,20.0,10.4,12.7,0.0,22.0,41.0,360,南京,江苏,华东,32.0603,118.7969
2021-04-18,3,14.0,19.5,7.8,12.1,0.0,9.7,21.6,111,南京,江苏,华东,32.0603,118.7969
2021-04-19,3,16.1,23.1,9.3,14.3,0.0,14.8,26.6,124,南京,江苏,华东,32.0603,118.7969
2021-04-20,3,18.0,23.7,13.9,15.8,0.0,19.1,36.4,113,南京,江苏,华东,32.0603,118.7969
2021-04-21,53,18.3,21.4,15.6,17.6,1.3,17.2,33.5,115,南京,江苏,华东,32.0603,118.7969
2021-04-22,63,18.3,20.4,16.5,19.5,8.8,14.6,29.9,135,南京,江苏,华东,32.0603,118.7969
2021-04-23,3,18.8,22.3,16.1,19.3,0.0,12.4,22.3,6,南京,江苏,华东,32.0603,118.7969
2021-04-24,3,16.8,20.0,14.6,15.7,0.0,15.4,30.6,32,南京,江苏,华东,32.0603,118.7969
2021-04-25,51,16.3,19.2,13.1,16.3,1.9,16.9,31.0,29,南京,江苏,华东,32.0603,118.7969
2021-04-26,53,17.6,20.3,15.6,18.4,2.1,10.4,19.1,101,南京,江苏,华东,32.0603,118.7969
2021-04-27,53,17.4,21.5,15.0,17.9,3.3,11.8,25.2,318,南京,江苏,华东,32.0603,118.7969
2021-04-28,3,18.2,24.6,12.4,18.1,0.0,14.2,29.9,279,南京,江苏,华东,32.0603,118.7969
2021-04-29,53,19.7,25.9,13.0,17.9,0.7,33.4,61.2,230,南京,江苏,华东,32.0603,118.7969
2021-04-30,55,21.9,28.5,15.9,21.9,1.6,28.3,61.9,223,南京,江苏,华东,32.0603,118.7969
2021-05-01,0,18.7,24.0,13.4,18.1,0.0,14.8,26.6,352,南京,江苏,华东,32.0603,118.7969
2021-05-02,3,17.6,22.1,14.0,13.8,0.0,24.8,44.6,73,南京,江苏,华东,32.0603,118.7969
2021-05-03,63,21.2,29.2,13.7,20.2,3.9,21.4,40.7,130,南京,江苏,华东,32.0603,118.7969
2021-05-04,63,19.4,21.5,16.1,20.0,16.3,24.9,46.1,298,南京,江苏,华东,32.0603,118.7969
2021-05-05,3,19.4,25.4,12.7,18.7,0.0,13.0,23.4,200,南京,江苏,华东,32.0603,118.7969
2021-05-06,3,20.2,25.1,15.6,18.6,0.0,22.2,40.0,192,南京,江苏,华东,32.0603,118.7969
2021-05-07,3,20.9,25.8,16.0,20.9,0.0,17.6,34.2,268,南京,江苏,华东,32.0603,118.7969
2021-05-08,3,22.7,29.9,15.1,23.7,0.0,16.9,33.8,222,南京,江苏,华东,32.0603,118.7969
2021-05-09,2,25.1,31.4,19.4,27.2,0.0,13.0,26.6,187,南京,江苏,华东,32.0603,118.7969
2021-05-10,61,26.3,32.2,19.7,29.1,3.7,12.7,28.1,201,南京,江苏,华东,32.0603,118.7969
2021-05-11,63,19.9,22.9,18.4,21.2,11.2,16.9,36.0,29,南京,江苏,华东,32.0603,118.7969
2021-05-12,3,20.5,23.8,17.0,22.2,0.0,11.6,23.4,51,南京,江苏,华东,32.0603,118.7969
2021-05-13,53,22.5,26.5,19.5,24.3,1.9,15.4,28.1,111,南京,江苏,华东,32.0603,118.7969
2021-05-14,63,24.0,28.6,20.9,27.1,18.0,16.4,52.9,155,南京,江苏,华东,32.0603,118.7969
2021-05-15,65,25.6,30.1,23.0,29.3,41.3,22.7,55.4,196,南京,江苏,华东,32.0603,118.7969
2021-05-16,63,20.0,24.0,15.2,20.9,33.3,23.7,44.6,312,南京,江苏,华东,32.0603,118.7969
2021-05-17,53,18.3,22.9,14.2,17.9,1.2,12.5,24.8,343,南京,江苏,华东,32.0603,118.7969
2021-05-18,3,20.6,23.9,16.5,21.6,0.0,7.9,19.1,149,南京,江苏,华东,32.0603,118.7969
2021-05-19,61,18.1,20.9,15.6,18.6,11.4,15.8,28.1,98,南京,江苏,华东,32.0603,118.7969
2021-05-20,51,18.6,22.8,15.9,18.9,0.8,16.4,32.8,348,南京,江苏,华东,32.0603,118.7969
2021-05-21,51,21.2,26.5,15.6,22.4,0.2,13.7,24.5,148,南京,江苏,华东,32.0603,118.7969
2021-05-22,3,22.8,27.3,19.7,23.5,0.0,17.9,35.3,126,南京,江苏,华东,32.0603,118.7969
2021-05-23,51,19.7,21.6,18.2,20.8,2.2,14.5,29.2,90,南京,江苏,华东,32.0603,118.7969
2021-05-24,3,22.4,27.4,18.4,24.2,0.0,11.6,23.8,267,南京,江苏,华东,32.0603,118.7969
2021-05-25,3,23.5,27.9,19.6,25.3,0.0,11.2,23.0,233,南京,江苏,华东,32.0603,118.7969
2021-05-26,63,20.4,22.1,19.2,22.8,29.1,13.3,24.1,174,南京,江苏,华东,32.0603,118.7969
2021-05-27,3,22.6,27.0,18.0,24.4,0.0,19.6,35.3,225,南京,江苏,华东,32.0603,118.7969
2021-05-28,3,24.6,28.5,20.8,25.0,0.0,22.7,40.7,268,南京,江苏,华东,32.0603,118.7969
2021-05-29,3,23.9,29.0,19.8,26.1,0.0,17.6,34.9,214,南京,江苏,华东,32.0603,118.7969
2021-05-30,2,25.3,30.4,19.8,28.9,0.0,9.9,20.2,209,南京,江苏,华东,32.0603,118.7969
2021-05-31,3,25.6,30.8,21.2,27.8,0.0,15.9,29.9,132,南京,江苏,华东,32.0603,118.7969
2021-06-01,3,24.8,30.0,19.8,26.4,0.0,19.6,35.3,124,南京,江苏,华东,32.0603,118.7969
2021-06-02,51,24.9,28.4,21.8,27.2,0.1,18.7,35.3,124,南京,江苏,华东,32.0603,118.7969
2021-06-03,61,22.5,25.7,18.9,25.0,6.4,21.4,40.7,3,南京,江苏,华东,32.0603,118.7969
2021-06-04,3,22.3,27.5,17.0,23.3,0.0,15.3,28.8,236,南京,江苏,华东,32.0603,118.7969
2021-06-05,2,24.4,30.2,18.8,25.3,0.0,17.9,34.2,216,南京,江苏,华东,32.0603,118.7969
2021-06-06,0,25.7,31.5,19.6,27.0,0.0,15.1,31.0,201,南京,江苏,华东,32.0603,118.7969
2021-06-07,3,27.1,33.9,21.8,28.2,0.0,16.6,30.6,146,南京,江苏,华东,32.0603,118.7969
2021-06-08,3,25.9,30.8,21.2,28.6,0.0,16.2,30.2,116,南京,江苏,华东,32.0603,118.7969
2021-06-09,3,27.2,32.4,21.9,31.1,0.0,10.1,24.1,112,南京,江苏,华东,32.0603,118.7969
2021-06-10,53,26.2,28.9,24.4,31.5,2.0,10.3,20.2,106,南京,江苏,华东,32.0603,118.7969
2021-06-11,3,27.6,32.5,22.9,31.8,0.0,12.1,21.6,125,南京,江苏,华东,32.0603,118.7969
2021-06-12,61,27.7,32.2,23.5,31.3,4.0,14.0,29.9,133,南京,江苏,华东,32.0603,118.7969
2021-06-13,61,25.7,28.2,24.0,30.3,10.3,11.0,21.6,154,南京,江苏,华东,32.0603,118.7969
2021-06-14,65,26.6,31.1,23.8,31.5,32.5,19.0,34.6,160,南京,江苏,华东,32.0603,118.7969
2021-06-15,61,28.1,32.1,24.6,32.8,8.6,20.9,54.4,245,南京,江苏,华东,32.0603,118.7969
2021-06-16,63,25.3,28.3,23.0,28.7,5.9,13.6,28.1,53,南京,江苏,华东,32.0603,118.7969
2021-06-17,63,25.9,29.5,23.5,30.6,17.1,12.4,32.4,39,南京,江苏,华东,32.0603,118.7969
2021-06-18,61,24.3,26.9,20.7,27.9,3.8,14.8,28.8,347,南京,江苏,华东,32.0603,118.7969
2021-06-19,3,22.8,25.0,20.7,24.7,0.0,12.7,28.4,198,南京,江苏,华东,32.0603,118.7969
2021-06-20,3,24.3,29.1,19.3,27.2,0.0,7.4,19.8,150,南京,江苏,华东,32.0603,118.7969
2021-06-21,3,25.5,30.5,19.2,28.1,0.0,8.5,20.9,127,南京,江苏,华东,32.0603,118.7969
2021-06-22,2,25.7,31.1,20.0,27.9,0.0,11.4,23.8,122,南京,江苏,华东,32.0603,118.7969
2021-06-23,3,26.5,32.5,18.6,28.1,0.0,12.4,25.6,128,南京,江苏,华东,32.0603,118.7969
2021-06-24,3,27.8,33.2,23.2,28.9,0.0,19.0,34.9,122,南京,江苏,华东,32.0603,118.7969
2021-06-25,63,26.2,31.5,22.4,28.7,6.3,17.6,31.7,141,南京,江苏,华东,32.0603,118.7969
2021-06-26,55,25.6,28.9,23.4,29.7,5.8,12.5,26.6,158,南京,江苏,华东,32.0603,118.7969
2021-06-27,53,26.0,28.8,24.1,31.1,3.7,9.9,20.9,119,南京,江苏,华东,32.0603,118.7969
2021-06-28,51,26.8,30.9,23.5,30.9,0.1,13.6,28.1,59,南京,江苏,华东,32.0603,118.7969
