time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon
2021-04-16,53,22.4,26.0,20.4,24.9,3.3,14.5,26.6,56,南宁,广西,华南,22.817,108.3669
2021-04-17,53,21.4,24.3,19.8,22.9,3.0,13.3,28.1,34,南宁,广西,华南,22.817,108.3669
2021-04-18,63,20.3,22.0,19.1,22.8,19.7,10.5,29.5,45,南宁,广西,华南,22.817,108.3669
2021-04-19,63,20.8,23.0,19.8,23.0,15.2,16.7,32.0,81,南宁,广西,华南,22.817,108.3669
2021-04-20,55,24.1,29.0,20.5,27.3,8.1,17.9,35.3,134,南宁,广西,华南,22.817,108.3669
2021-04-21,63,25.1,28.5,23.0,28.6,10.5,20.7,42.5,159,南宁,广西,华南,22.817,108.3669
2021-04-22,51,25.8,29.2,23.2,30.0,1.9,12.6,27.0,155,南宁,广西,华南,22.817,108.3669
2021-04-23,53,25.9,29.8,22.9,29.5,2.5,20.7,39.6,160,南宁,广西,华南,22.817,108.3669
2021-04-24,53,26.2,29.6,23.5,30.3,1.8,16.9,34.6,151,南宁,广西,华南,22.817,108.3669
2021-04-25,55,24.5,26.9,21.6,27.5,3.9,17.8,36.4,85,南宁,广西,华南,22.817,108.3669
2021-04-26,63,19.8,21.2,18.5,21.4,40.5,14.2,28.8,29,南宁,广西,华南,22.817,108.3669
2021-04-27,63,20.1,22.5,18.7,22.1,11.8,10.0,20.9,31,南宁,广西,华南,22.817,108.3669
2021-04-28,55,20.7,23.4,18.2,22.5,4.2,11.6,26.6,13,南宁,广西,华南,22.817,108.3669
2021-04-29,51,20.4,25.6,17.2,22.1,1.2,8.2,18.4,330,南宁,广西,华南,22.817,108.3669
2021-04-30,3,22.6,27.9,17.8,25.5,0.0,14.5,25.9,154,南宁,广西,华南,22.817,108.3669
2021-05-01,3,24.4,30.0,18.7,28.2,0.0,14.5,26.3,160,南宁,广西,华南,22.817,108.3669
2021-05-02,61,24.8,27.1,22.6,28.8,8.3,14.3,40.7,152,南宁,广西,华南,22.817,108.3669
2021-05-03,63,25.5,28.8,22.8,28.9,13.8,23.7,47.5,160,南宁,广西,华南,22.817,108.3669
2021-05-04,63,26.1,30.9,23.6,30.3,7.4,17.1,36.4,140,南宁,广西,华南,22.817,108.3669
2021-05-05,63,22.5,24.0,21.3,25.0,8.0,14.3,29.5,59,南宁,广西,华南,22.817,108.3669
2021-05-06,51,24.7,28.5,21.9,28.3,0.1,13.8,24.5,151,南宁,广西,华南,22.817,108.3669
2021-05-07,63,26.1,29.7,23.2,30.3,5.5,14.9,33.5,179,南宁,广西,华南,22.817,108.3669
2021-05-08,3,26.4,31.0,22.0,30.9,0.0,14.2,26.3,192,南宁,广西,华南,22.817,108.3669
2021-05-09,51,26.4,30.3,22.8,30.6,0.2,18.7,35.3,162,南宁,广西,华南,22.817,108.3669
2021-05-10,53,27.4,31.0,24.2,31.5,2.2,22.0,46.4,174,南宁,广西,华南,22.817,108.3669
2021-05-11,63,28.0,31.5,24.7,32.6,7.7,19.6,46.1,172,南宁,广西,华南,22.817,108.3669
2021-05-12,65,27.3,31.3,24.4,32.1,32.6,20.0,44.6,153,南宁,广西,华南,22.817,108.3669
2021-05-13,53,27.2,30.0,25.7,31.4,2.1,23.5,48.6,164,南宁,广西,华南,22.817,108.3669
2021-05-14,53,28.0,30.9,25.2,31.9,1.8,25.2,54.7,173,南宁,广西,华南,22.817,108.3669
2021-05-15,51,28.7,32.2,26.1,32.7,0.3,27.2,56.5,174,南宁,广西,华南,22.817,108.3669
2021-05-16,63,28.3,32.2,25.6,33.2,8.2,18.0,42.5,170,南宁,广西,华南,22.817,108.3669
2021-05-17,63,27.4,31.2,23.4,32.8,10.0,17.8,38.9,136,南宁,广西,华南,22.817,108.3669
2021-05-18,55,25.9,31.5,22.2,29.9,3.3,16.3,41.0,118,南宁,广西,华南,22.817,108.3669
2021-05-19,51,27.7,32.2,23.4,32.0,2.1,23.3,48.2,159,南宁,广西,华南,22.817,108.3669
