time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon
2021-04-16,3,17.2,22.6,12.7,17.2,0.0,10.2,21.6,287,合肥,安徽,华东,31.8206,117.229
2021-04-17,3,15.0,20.5,10.3,13.2,0.0,15.8,33.5,347,合肥,安徽,华东,31.8206,117.229
2021-04-18,3,13.3,18.6,6.8,11.5,0.0,10.3,22.7,81,合肥,安徽,华东,31.8206,117.229
2021-04-19,3,16.5,23.0,8.0,15.0,0.0,11.5,26.3,110,合肥,安徽,华东,31.8206,117.229
2021-04-20,53,19.4,23.7,15.9,18.9,1.0,14.1,28.8,105,合肥,安徽,华东,31.8206,117.229
2021-04-21,53,19.4,23.2,16.5,19.4,0.7,16.9,35.6,120,合肥,安徽,华东,31.8206,117.229
2021-04-22,63,18.6,20.9,16.8,19.5,22.7,17.1,34.6,322,合肥,安徽,华东,31.8206,117.229
2021-04-23,3,18.6,22.6,15.6,18.7,0.0,12.5,22.3,352,合肥,安徽,华东,31.8206,117.229
2021-04-24,51,17.1,18.9,15.2,16.1,0.1,17.1,34.2,33,合肥,安徽,华东,31.8206,117.229
2021-04-25,51,14.8,17.1,12.2,14.1,1.4,10.6,21.6,344,合肥,安徽,华东,31.8206,117.229
2021-04-26,53,15.6,17.4,14.4,15.8,5.5,11.5,23.8,329,合肥,安徽,华东,31.8206,117.229
2021-04-27,51,17.6,22.5,13.7,18.0,0.4,11.3,26.6,307,合肥,安徽,华东,31.8206,117.229
2021-04-28,3,17.8,24.2,11.1,17.1,0.0,16.0,33.5,302,合肥,安徽,华东,31.8206,117.229
2021-04-29,3,20.3,27.5,12.4,18.5,0.0,29.0,55.4,233,合肥,安徽,华东,31.8206,117.229
2021-04-30,63,22.9,31.2,14.8,23.1,3.5,29.4,64.1,237,合肥,安徽,华东,31.8206,117.229
2021-05-01,1,19.5,24.3,13.5,18.6,0.0,18.5,36.4,66,合肥,安徽,华东,31.8206,117.229
2021-05-02,3,19.0,23.0,15.0,15.3,0.0,23.9,47.2,77,合肥,安徽,华东,31.8206,117.229
2021-05-03,63,20.9,28.1,14.1,20.2,19.2,23.8,47.9,139,合肥,安徽,华东,31.8206,117.229
2021-05-04,61,19.7,23.9,16.0,19.3,5.1,24.1,50.4,305,合肥,安徽,华东,31.8206,117.229
2021-05-05,3,19.8,25.5,12.4,19.5,0.0,13.0,27.0,158,合肥,安徽,华东,31.8206,117.229
2021-05-06,3,20.5,26.1,15.4,20.4,0.0,16.2,29.5,188,合肥,安徽,华东,31.8206,117.229
2021-05-07,3,19.9,25.7,13.1,20.3,0.0,15.3,33.8,313,合肥,安徽,华东,31.8206,117.229
2021-05-08,3,23.0,30.1,15.1,24.8,0.0,14.1,26.6,194,合肥,安徽,华东,31.8206,117.229
2021-05-09,0,25.2,30.9,18.8,27.9,0.0,15.4,30.6,171,合肥,安徽,华东,31.8206,117.229
2021-05-10,51,26.8,31.5,22.4,30.6,0.6,12.6,25.6,158,合肥,安徽,华东,31.8206,117.229
2021-05-11,61,20.5,23.5,18.2,22.0,8.3,16.8,34.2,34,合肥,安徽,华东,31.8206,117.229
2021-05-12,3,20.9,24.5,16.8,22.9,0.0,7.4,18.7,69,合肥,安徽,华东,31.8206,117.229
2021-05-13,53,23.2,27.1,19.4,25.8,1.8,12.2,25.6,113,合肥,安徽,华东,31.8206,117.229
2021-05-14,61,25.6,28.9,22.4,29.0,8.4,25.6,50.0,173,合肥,安徽,华东,31.8206,117.229
2021-05-15,65,25.2,28.8,22.4,29.2,44.8,23.5,51.8,180,合肥,安徽,华东,31.8206,117.229
2021-05-16,63,18.8,22.6,14.6,19.0,14.4,25.6,50.0,318,合肥,安徽,华东,31.8206,117.229
2021-05-17,51,18.2,22.7,13.2,18.1,0.1,11.4,25.6,314,合肥,安徽,华东,31.8206,117.229
