time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon
2021-04-17,0,4.0,14.4,-5.3,-0.6,0.0,19.6,37.8,198,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-04-18,3,8.6,18.0,-1.5,4.6,0.0,18.6,35.3,153,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-04-19,3,12.2,21.5,1.5,8.7,0.0,11.8,23.0,60,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-04-20,3,14.7,24.1,4.3,11.3,0.0,12.2,17.3,69,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-04-21,51,14.5,21.5,8.6,11.8,0.4,18.1,31.0,166,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-04-22,53,13.2,18.9,9.7,11.6,3.8,13.2,21.6,60,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-04-23,3,15.6,23.5,7.4,12.2,0.0,22.0,39.6,72,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-04-24,3,16.0,22.6,8.9,12.5,0.0,19.4,36.4,95,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-04-25,53,11.5,15.4,7.8,8.8,1.6,20.6,36.4,204,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-04-26,51,10.0,14.9,4.4,5.7,0.2,34.6,58.7,231,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-04-27,51,6.4,12.6,1.0,1.7,0.2,22.2,40.0,289,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-04-28,51,6.6,14.0,-1.5,1.7,0.2,25.9,49.0,271,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-04-29,71,8.3,13.6,3.0,3.1,0.2,30.6,54.0,316,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-04-30,71,7.8,13.1,1.9,2.7,1.2,33.9,57.2,341,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-05-01,3,9.5,16.6,2.3,5.3,0.0,15.8,33.8,31,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-05-02,3,13.4,22.0,3.7,9.5,0.0,25.8,42.1,123,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-05-03,51,13.2,20.2,7.5,9.7,0.2,23.2,45.4,276,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-05-04,2,8.6,13.2,2.0,2.9,0.0,35.2,64.1,298,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-05-05,3,10.8,21.5,0.4,5.7,0.0,33.5,58.3,235,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-05-06,3,8.9,12.4,6.7,2.7,0.0,44.6,73.1,298,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-05-07,2,11.9,22.3,0.9,7.1,0.0,28.4,52.2,234,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-05-08,3,14.6,21.8,6.6,10.3,0.0,19.3,31.7,356,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-05-09,3,17.2,26.1,8.8,12.8,0.0,33.6,58.0,44,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-05-10,3,16.2,22.5,8.9,13.1,0.0,10.1,25.2,158,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-05-11,2,17.8,27.8,7.7,13.7,0.0,25.2,46.1,294,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-05-12,3,17.9,24.4,10.9,14.6,0.0,24.7,43.6,57,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-05-13,51,21.1,29.4,12.6,19.0,0.1,22.1,38.9,133,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-05-14,63,18.9,25.9,12.1,17.2,11.4,29.9,49.7,308,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-05-15,53,11.1,12.9,9.4,7.5,1.7,17.1,32.0,41,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-05-16,3,13.6,21.2,5.5,10.0,0.0,16.6,29.5,13,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-05-17,3,14.4,23.0,5.9,11.3,0.0,17.5,36.7,219,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-05-18,3,16.7,24.5,8.2,13.7,0.0,21.7,39.6,234,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-05-19,51,16.4,22.5,10.1,13.5,0.1,23.2,39.2,223,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-05-20,51,16.8,23.1,11.2,15.8,0.4,9.3,20.5,178,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-05-21,3,19.4,28.1,10.1,17.5,0.0,15.9,34.6,182,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-05-22,53,17.2,26.2,11.9,13.9,1.4,42.5,69.5,321,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-05-23,3,12.4,17.6,7.1,7.4,0.0,25.9,46.4,315,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-05-24,3,10.7,16.0,4.3,5.6,0.0,33.9,61.2,303,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-05-25,3,15.7,28.2,3.5,11.2,0.0,31.8,56.5,259,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-05-26,3,16.4,21.0,10.6,12.5,0.0,25.1,46.1,331,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-05-27,53,15.1,20.8,9.9,10.2,0.6,38.5,70.6,327,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-05-28,3,17.3,26.8,6.8,12.9,0.0,27.7,49.3,234,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-05-29,3,21.2,29.1,11.2,18.6,0.0,11.5,24.8,50,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-05-30,3,21.1,28.2,12.9,18.5,0.0,12.0,23.0,88,呼和浩特,内蒙古,华北,40.8426,111.7492
2021-05-31,3,21.0,26.5,14.4,17.2,0.0,26.7,51.8,334,呼和浩特,内蒙古,华北,40.8426,111.7492
