time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon
2021-04-17,51,4.8,9.1,-0.7,1.8,0.1,9.4,20.5,120,哈尔滨,黑龙江,东北,45.8038,126.535
2021-04-18,1,6.8,14.0,-1.0,3.2,0.0,14.8,32.0,216,哈尔滨,黑龙江,东北,45.8038,126.535
2021-04-19,0,10.0,18.0,3.1,5.2,0.0,30.1,52.9,296,哈尔滨,黑龙江,东北,45.8038,126.535
2021-04-20,0,6.7,13.8,-2.4,2.4,0.0,15.7,33.5,276,哈尔滨,黑龙江,东北,45.8038,126.535
2021-04-21,51,13.9,22.9,4.1,9.9,0.2,22.0,41.4,175,哈尔滨,黑龙江,东北,45.8038,126.535
2021-04-22,53,16.2,22.7,11.3,12.4,1.2,23.8,40.0,202,哈尔滨,黑龙江,东北,45.8038,126.535
2021-04-23,3,12.5,17.0,9.1,11.0,0.0,11.1,23.0,208,哈尔滨,黑龙江,东北,45.8038,126.535
2021-04-24,3,8.2,13.2,3.8,3.1,0.0,22.7,43.9,354,哈尔滨,黑龙江,东北,45.8038,126.535
2021-04-25,3,8.4,15.1,2.3,4.2,0.0,19.5,38.9,349,哈尔滨,黑龙江,东北,45.8038,126.535
2021-04-26,3,10.9,18.8,0.8,6.7,0.0,18.8,33.5,176,哈尔滨,黑龙江,东北,45.8038,126.535
2021-04-27,53,13.1,17.5,9.9,8.2,1.5,31.9,60.5,208,哈尔滨,黑龙江,东北,45.8038,126.535
2021-04-28,51,9.2,13.8,4.5,3.7,0.2,31.5,56.5,238,哈尔滨,黑龙江,东北,45.8038,126.535
2021-04-29,53,8.5,14.2,1.1,4.4,1.6,23.9,46.1,167,哈尔滨,黑龙江,东北,45.8038,126.535
2021-04-30,53,7.6,12.4,3.3,4.8,2.1,16.5,34.9,286,哈尔滨,黑龙江,东北,45.8038,126.535
2021-05-01,61,7.6,13.0,4.2,5.3,4.5,10.3,23.4,358,哈尔滨,黑龙江,东北,45.8038,126.535
2021-05-02,3,10.1,17.1,2.1,7.4,0.0,15.5,33.1,286,哈尔滨,黑龙江,东北,45.8038,126.535
2021-05-03,3,13.5,19.5,6.8,9.3,0.0,28.9,53.3,168,哈尔滨,黑龙江,东北,45.8038,126.535
2021-05-04,53,12.2,17.1,8.2,7.5,1.0,26.4,47.9,200,哈尔滨,黑龙江,东北,45.8038,126.535
2021-05-05,51,10.4,14.6,5.9,5.9,0.6,28.8,54.4,224,哈尔滨,黑龙江,东北,45.8038,126.535
2021-05-06,51,13.1,20.1,5.2,9.9,0.1,16.8,38.5,206,哈尔滨,黑龙江,东北,45.8038,126.535
2021-05-07,55,10.2,12.8,6.9,8.0,8.4,17.8,51.5,183,哈尔滨,黑龙江,东北,45.8038,126.535
2021-05-08,61,8.1,12.4,5.6,5.3,12.8,19.1,41.0,110,哈尔滨,黑龙江,东北,45.8038,126.535
2021-05-09,55,7.8,12.7,2.8,3.5,3.7,28.8,51.1,344,哈尔滨,黑龙江,东北,45.8038,126.535
2021-05-10,3,9.4,16.6,1.2,7.1,0.0,10.5,23.0,177,哈尔滨,黑龙江,东北,45.8038,126.535
2021-05-11,3,13.5,20.2,3.7,9.9,0.0,25.7,44.3,152,哈尔滨,黑龙江,东北,45.8038,126.535
2021-05-12,51,16.2,20.4,10.3,10.5,0.4,42.7,75.6,221,哈尔滨,黑龙江,东北,45.8038,126.535
2021-05-13,0,14.7,21.9,7.7,11.0,0.0,20.2,38.9,246,哈尔滨,黑龙江,东北,45.8038,126.535
2021-05-14,63,17.5,24.8,10.6,15.1,15.8,25.6,46.4,186,哈尔滨,黑龙江,东北,45.8038,126.535
2021-05-15,63,14.4,18.4,10.9,11.2,9.0,21.7,40.7,267,哈尔滨,黑龙江,东北,45.8038,126.535
2021-05-16,3,15.7,22.9,8.4,12.7,0.0,17.3,33.5,248,哈尔滨,黑龙江,东北,45.8038,126.535
2021-05-17,0,18.0,25.3,9.4,14.9,0.0,16.6,32.8,232,哈尔滨,黑龙江,东北,45.8038,126.535
2021-05-18,3,22.2,29.7,14.8,18.0,0.0,32.6,56.9,201,哈尔滨,黑龙江,东北,45.8038,126.535
2021-05-19,3,19.9,25.2,11.2,18.6,0.0,24.2,41.0,87,哈尔滨,黑龙江,东北,45.8038,126.535
2021-05-20,3,23.1,29.0,17.1,21.0,0.0,25.2,45.7,220,哈尔滨,黑龙江,东北,45.8038,126.535
2021-05-21,2,22.0,29.1,13.9,22.6,0.0,11.9,23.4,163,哈尔滨,黑龙江,东北,45.8038,126.535
2021-05-22,3,24.8,31.8,17.4,22.9,0.0,24.4,44.6,196,哈尔滨,黑龙江,东北,45.8038,126.535
2021-05-23,61,17.9,23.0,11.0,14.4,4.7,35.7,66.6,217,哈尔滨,黑龙江,东北,45.8038,126.535
2021-05-24,3,13.0,16.8,10.3,7.6,0.0,33.8,64.8,237,哈尔滨,黑龙江,东北,45.8038,126.535
2021-05-25,3,13.3,18.5,7.3,9.0,0.0,20.0,40.7,242,哈尔滨,黑龙江,东北,45.8038,126.535
2021-05-26,3,14.9,21.0,8.6,11.1,0.0,22.6,41.0,260,哈尔滨,黑龙江,东北,45.8038,126.535
2021-05-27,51,14.9,21.8,8.6,12.4,0.4,16.5,37.1,186,哈尔滨,黑龙江,东北,45.8038,126.535
2021-05-28,51,13.9,17.5,10.0,12.7,0.9,10.9,25.6,77,哈尔滨,黑龙江,东北,45.8038,126.535
2021-05-29,3,15.8,21.6,7.9,14.0,0.0,13.0,27.7,311,哈尔滨,黑龙江,东北,45.8038,126.535
2021-05-30,51,17.4,23.5,9.6,15.0,0.4,17.1,40.0,200,哈尔滨,黑龙江,东北,45.8038,126.535
2021-05-31,3,19.7,25.8,12.4,17.6,0.0,17.2,29.2,175,哈尔滨,黑龙江,东北,45.8038,126.535
2021-06-01,63,16.9,21.8,11.0,14.1,11.3,27.9,52.6,198,哈尔滨,黑龙江,东北,45.8038,126.535
2021-06-02,63,15.9,21.9,10.0,13.3,7.8,24.7,42.5,166,哈尔滨,黑龙江,东北,45.8038,126.535
2021-06-03,61,14.0,18.4,10.9,11.8,7.3,28.7,53.3,227,哈尔滨,黑龙江,东北,45.8038,126.535
2021-06-04,61,13.7,18.2,10.2,11.5,6.4,21.8,40.7,259,哈尔滨,黑龙江,东北,45.8038,126.535
2021-06-05,61,13.7,18.0,11.1,12.5,9.2,16.7,31.0,349,哈尔滨,黑龙江,东北,45.8038,126.535
2021-06-06,63,15.3,20.4,10.9,15.1,4.0,10.0,31.0,287,哈尔滨,黑龙江,东北,45.8038,126.535
2021-06-07,3,17.7,24.4,10.0,17.9,0.0,9.4,15.8,177,哈尔滨,黑龙江,东北,45.8038,126.535
2021-06-08,3,20.7,27.2,12.4,20.5,0.0,11.5,24.5,170,哈尔滨,黑龙江,东北,45.8038,126.535
2021-06-09,51,22.5,28.0,17.4,21.6,0.6,24.3,47.9,190,哈尔滨,黑龙江,东北,45.8038,126.535
2021-06-10,61,19.6,22.3,15.6,19.4,5.1,22.0,38.5,189,哈尔滨,黑龙江,东北,45.8038,126.535
2021-06-11,3,21.7,27.0,16.3,21.6,0.0,18.1,38.5,242,哈尔滨,黑龙江,东北,45.8038,126.535
2021-06-12,3,22.8,28.6,14.6,24.0,0.0,13.4,26.3,167,哈尔滨,黑龙江,东北,45.8038,126.535
2021-06-13,63,22.9,27.8,18.2,24.1,5.7,19.9,37.8,164,哈尔滨,黑龙江,东北,45.8038,126.535
2021-06-14,3,23.5,28.7,17.6,23.7,0.0,21.5,39.6,164,哈尔滨,黑龙江,东北,45.8038,126.535
2021-06-15,53,21.7,24.3,20.0,20.4,2.6,33.8,61.2,189,哈尔滨,黑龙江,东北,45.8038,126.535
2021-06-16,51,24.2,29.0,18.6,24.3,0.3,22.1,39.6,191,哈尔滨,黑龙江,东北,45.8038,126.535
2021-06-17,61,21.1,25.5,15.4,19.0,5.6,32.4,55.1,212,哈尔滨,黑龙江,东北,45.8038,126.535
2021-06-18,63,17.1,21.4,14.0,15.2,9.2,22.7,43.2,194,哈尔滨,黑龙江,东北,45.8038,126.535
