time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon
2021-04-16,3,12.9,18.4,6.2,7.4,0.0,33.0,50.0,316,天津,天津,华北,39.0842,117.2009
2021-04-17,0,12.6,18.9,6.8,6.8,0.0,29.5,50.0,298,天津,天津,华北,39.0842,117.2009
2021-04-18,0,16.0,24.9,7.4,11.5,0.0,23.7,40.0,226,天津,天津,华北,39.0842,117.2009
2021-04-19,3,19.4,27.5,10.8,16.4,0.0,18.6,28.1,217,天津,天津,华北,39.0842,117.2009
2021-04-20,3,19.5,25.7,15.0,16.8,0.0,19.1,34.9,177,天津,天津,华北,39.0842,117.2009
2021-04-21,3,16.3,20.1,12.4,13.9,0.0,17.0,31.7,134,天津,天津,华北,39.0842,117.2009
2021-04-22,61,11.7,13.5,9.7,9.5,8.6,14.8,27.0,68,天津,天津,华北,39.0842,117.2009
2021-04-23,3,13.6,16.8,10.8,10.5,0.0,27.1,43.2,51,天津,天津,华北,39.0842,117.2009
2021-04-24,3,13.9,19.5,9.4,12.1,0.0,15.7,28.8,77,天津,天津,华北,39.0842,117.2009
2021-04-25,3,14.1,20.0,9.9,11.9,0.0,16.0,29.5,125,天津,天津,华北,39.0842,117.2009
2021-04-26,3,13.7,19.0,9.9,10.8,0.0,17.3,31.7,176,天津,天津,华北,39.0842,117.2009
2021-04-27,51,16.9,23.2,10.1,13.2,0.4,26.5,48.6,298,天津,天津,华北,39.0842,117.2009
2021-04-28,3,17.6,22.6,10.5,12.8,0.0,23.3,36.0,250,天津,天津,华北,39.0842,117.2009
2021-04-29,3,16.6,22.4,11.4,11.1,0.0,35.4,57.2,323,天津,天津,华北,39.0842,117.2009
2021-04-30,51,10.7,12.8,8.5,7.5,0.7,21.9,36.7,101,天津,天津,华北,39.0842,117.2009
2021-05-01,2,13.0,20.2,5.9,8.4,0.0,30.4,52.6,330,天津,天津,华北,39.0842,117.2009
2021-05-02,3,13.9,20.5,5.1,10.6,0.0,15.8,30.6,214,天津,天津,华北,39.0842,117.2009
2021-05-03,3,16.2,21.1,12.2,12.8,0.0,23.9,42.1,196,天津,天津,华北,39.0842,117.2009
2021-05-04,3,18.1,23.5,13.4,13.3,0.0,27.0,47.2,311,天津,天津,华北,39.0842,117.2009
2021-05-05,2,19.8,27.8,10.2,14.3,0.0,27.7,47.2,232,天津,天津,华北,39.0842,117.2009
2021-05-06,3,22.8,30.8,16.2,16.3,0.0,36.3,62.6,248,天津,天津,华北,39.0842,117.2009
2021-05-07,2,19.3,26.0,11.4,13.7,0.0,41.3,67.3,270,天津,天津,华北,39.0842,117.2009
