time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon
2021-04-17,0,9.4,17.4,1.3,4.6,0.0,17.4,36.4,303,太原,山西,华北,37.8706,112.5489
2021-04-18,1,12.1,21.0,2.3,7.9,0.0,22.1,42.1,185,太原,山西,华北,37.8706,112.5489
2021-04-19,3,16.6,24.0,7.4,13.8,0.0,16.3,31.7,117,太原,山西,华北,37.8706,112.5489
2021-04-20,3,18.1,25.0,12.9,15.0,0.0,26.1,47.9,94,太原,山西,华北,37.8706,112.5489
2021-04-21,53,12.3,14.4,10.1,9.9,2.6,15.9,31.7,70,太原,山西,华北,37.8706,112.5489
2021-04-22,53,14.3,21.7,7.5,12.9,1.2,9.2,29.9,47,太原,山西,华北,37.8706,112.5489
2021-04-23,3,15.7,22.7,10.0,13.3,0.0,23.9,45.4,60,太原,山西,华北,37.8706,112.5489
2021-04-24,3,12.6,16.0,10.8,10.0,0.0,18.8,36.7,88,太原,山西,华北,37.8706,112.5489
2021-04-25,51,12.3,15.3,9.9,10.0,0.3,16.1,32.4,136,太原,山西,华北,37.8706,112.5489
2021-04-26,51,14.7,21.2,8.9,11.3,0.1,21.4,43.2,290,太原,山西,华北,37.8706,112.5489
2021-04-27,3,13.1,19.6,6.1,7.8,0.0,33.2,61.9,293,太原,山西,华北,37.8706,112.5489
2021-04-28,3,11.9,17.5,4.0,6.5,0.0,30.7,58.7,293,太原,山西,华北,37.8706,112.5489
2021-04-29,3,13.5,18.9,6.9,8.4,0.0,32.0,61.9,327,太原,山西,华北,37.8706,112.5489
2021-04-30,3,14.1,20.5,7.8,9.0,0.0,35.7,70.2,337,太原,山西,华北,37.8706,112.5489
2021-05-01,3,15.8,24.9,6.6,12.2,0.0,26.2,46.8,5,太原,山西,华北,37.8706,112.5489
2021-05-02,3,14.6,22.4,6.7,10.7,0.0,20.2,38.9,156,太原,山西,华北,37.8706,112.5489
2021-05-03,51,16.1,24.0,8.8,13.3,0.7,30.5,54.0,130,太原,山西,华北,37.8706,112.5489
2021-05-04,2,14.5,19.5,9.2,9.1,0.0,32.4,59.8,311,太原,山西,华北,37.8706,112.5489
2021-05-05,2,16.2,24.5,6.8,11.9,0.0,18.8,37.4,210,太原,山西,华北,37.8706,112.5489
2021-05-06,2,17.3,23.8,11.2,11.6,0.0,35.8,64.8,291,太原,山西,华北,37.8706,112.5489
2021-05-07,0,15.4,23.2,8.2,10.2,0.0,25.5,47.9,298,太原,山西,华北,37.8706,112.5489
2021-05-08,3,19.5,29.3,10.1,15.9,0.0,18.8,36.0,82,太原,山西,华北,37.8706,112.5489
2021-05-09,3,19.6,31.5,10.6,16.7,0.0,26.6,47.5,116,太原,山西,华北,37.8706,112.5489
2021-05-10,3,18.1,24.0,12.3,14.9,0.0,15.8,28.8,43,太原,山西,华北,37.8706,112.5489
2021-05-11,3,18.7,26.1,10.9,16.0,0.0,17.3,36.0,192,太原,山西,华北,37.8706,112.5489
2021-05-12,2,20.7,29.8,13.3,18.2,0.0,29.9,54.0,122,太原,山西,华北,37.8706,112.5489
2021-05-13,51,21.1,28.6,14.1,19.9,0.3,25.4,45.7,123,太原,山西,华北,37.8706,112.5489
2021-05-14,51,21.1,26.6,15.9,20.2,0.1,16.6,32.8,132,太原,山西,华北,37.8706,112.5489
2021-05-15,63,15.1,18.6,9.8,13.9,34.1,21.8,38.5,349,太原,山西,华北,37.8706,112.5489
2021-05-16,55,11.8,18.5,7.4,8.4,5.7,20.7,38.2,359,太原,山西,华北,37.8706,112.5489
2021-05-17,3,15.4,23.1,8.0,13.7,0.0,12.3,23.8,187,太原,山西,华北,37.8706,112.5489
2021-05-18,3,18.6,25.3,11.4,16.6,0.0,15.5,29.5,172,太原,山西,华北,37.8706,112.5489
2021-05-19,3,19.2,25.5,13.9,17.0,0.0,18.4,37.1,184,太原,山西,华北,37.8706,112.5489
2021-05-20,3,17.7,22.0,12.9,17.2,0.0,8.2,24.8,333,太原,山西,华北,37.8706,112.5489
2021-05-21,3,20.5,28.5,13.6,19.6,0.0,12.3,29.2,156,太原,山西,华北,37.8706,112.5489
2021-05-22,61,20.9,29.0,13.1,19.0,2.9,30.2,56.2,219,太原,山西,华北,37.8706,112.5489
2021-05-23,61,17.3,22.5,11.7,13.4,3.8,29.5,53.6,308,太原,山西,华北,37.8706,112.5489
2021-05-24,3,17.1,24.2,9.6,11.8,0.0,38.1,74.5,292,太原,山西,华北,37.8706,112.5489
2021-05-25,3,19.5,27.9,9.0,15.5,0.0,19.5,44.6,227,太原,山西,华北,37.8706,112.5489
2021-05-26,2,19.9,24.6,14.2,16.4,0.0,33.2,64.1,326,太原,山西,华北,37.8706,112.5489
2021-05-27,0,21.1,30.5,11.7,16.2,0.0,41.6,75.6,299,太原,山西,华北,37.8706,112.5489
2021-05-28,1,20.3,27.3,12.9,16.7,0.0,20.0,38.2,307,太原,山西,华北,37.8706,112.5489
2021-05-29,3,22.7,33.0,14.4,19.8,0.0,22.3,47.2,102,太原,山西,华北,37.8706,112.5489
2021-05-30,3,21.8,30.8,13.5,20.3,0.0,22.8,44.6,40,太原,山西,华北,37.8706,112.5489
2021-05-31,51,20.5,26.7,14.9,18.7,0.2,25.9,48.2,219,太原,山西,华北,37.8706,112.5489
2021-06-01,3,21.9,29.7,14.4,20.2,0.0,22.1,42.8,172,太原,山西,华北,37.8706,112.5489
2021-06-02,3,21.4,29.5,16.0,19.1,0.0,24.8,47.9,284,太原,山西,华北,37.8706,112.5489
2021-06-03,3,18.9,24.5,14.6,14.6,0.0,24.4,46.8,331,太原,山西,华北,37.8706,112.5489
2021-06-04,3,21.4,29.4,11.4,17.7,0.0,27.8,55.1,310,太原,山西,华北,37.8706,112.5489
2021-06-05,3,22.9,28.8,15.1,19.8,0.0,16.3,33.8,14,太原,山西,华北,37.8706,112.5489
2021-06-06,3,24.8,34.0,14.8,21.6,0.0,25.3,47.2,169,太原,山西,华北,37.8706,112.5489
2021-06-07,3,23.5,29.7,18.5,22.0,0.0,15.9,33.5,1,太原,山西,华北,37.8706,112.5489
2021-06-08,55,21.7,30.5,15.1,22.2,1.2,17.3,31.7,322,太原,山西,华北,37.8706,112.5489
2021-06-09,63,19.0,21.4,17.0,20.2,15.2,11.0,28.1,345,太原,山西,华北,37.8706,112.5489
2021-06-10,51,20.1,25.6,15.9,19.6,0.3,17.3,34.2,1,太原,山西,华北,37.8706,112.5489
2021-06-11,3,21.3,27.0,13.8,21.0,0.0,9.0,18.0,348,太原,山西,华北,37.8706,112.5489
2021-06-12,51,23.9,30.0,17.4,24.6,0.3,16.9,31.0,95,太原,山西,华北,37.8706,112.5489
2021-06-13,53,23.3,26.9,19.2,25.5,1.9,8.0,25.6,1,太原,山西,华北,37.8706,112.5489
