time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon
2021-04-16,55,17.2,22.3,10.7,17.2,4.5,7.6,24.8,184,成都,四川,西南,30.5728,104.0668
2021-04-17,55,16.3,18.2,15.0,16.5,3.9,8.4,17.3,107,成都,四川,西南,30.5728,104.0668
2021-04-18,53,16.2,19.8,14.6,16.3,2.8,9.2,23.0,65,成都,四川,西南,30.5728,104.0668
2021-04-19,51,15.7,18.5,13.8,15.4,0.2,13.1,25.2,49,成都,四川,西南,30.5728,104.0668
2021-04-20,51,17.0,22.0,13.2,17.0,0.1,13.2,29.2,31,成都,四川,西南,30.5728,104.0668
2021-04-21,51,18.4,23.2,13.6,18.7,0.1,11.7,23.0,41,成都,四川,西南,30.5728,104.0668
2021-04-22,51,19.1,23.5,15.5,20.0,0.7,11.6,22.0,59,成都,四川,西南,30.5728,104.0668
2021-04-23,51,21.0,25.6,16.4,21.8,0.1,16.1,28.4,26,成都,四川,西南,30.5728,104.0668
2021-04-24,51,20.8,26.0,17.2,19.7,0.1,19.8,38.5,42,成都,四川,西南,30.5728,104.0668
2021-04-25,51,18.1,20.6,15.8,16.7,0.5,19.1,34.9,36,成都,四川,西南,30.5728,104.0668
2021-04-26,51,18.6,23.4,13.7,18.3,0.6,13.1,29.9,44,成都,四川,西南,30.5728,104.0668
2021-04-27,61,20.0,25.9,15.4,20.3,4.0,19.5,33.8,0,成都,四川,西南,30.5728,104.0668
2021-04-28,53,17.8,22.0,14.6,16.6,2.1,25.2,43.2,22,成都,四川,西南,30.5728,104.0668
2021-04-29,2,19.3,26.5,10.8,19.5,0.0,11.0,26.6,185,成都,四川,西南,30.5728,104.0668
2021-04-30,3,22.2,29.5,15.2,23.5,0.0,14.1,27.4,20,成都,四川,西南,30.5728,104.0668
2021-05-01,3,25.2,32.0,18.1,26.8,0.0,11.8,22.7,195,成都,四川,西南,30.5728,104.0668
2021-05-02,63,24.2,30.4,19.6,26.7,19.1,18.0,42.8,358,成都,四川,西南,30.5728,104.0668
2021-05-03,63,23.3,28.6,19.1,24.5,8.8,21.5,40.0,29,成都,四川,西南,30.5728,104.0668
2021-05-04,53,20.5,22.8,18.0,19.5,2.7,21.4,38.9,15,成都,四川,西南,30.5728,104.0668
2021-05-05,51,17.9,21.4,14.2,17.4,0.7,14.0,27.0,186,成都,四川,西南,30.5728,104.0668
2021-05-06,63,18.2,22.0,15.0,18.9,16.1,6.5,15.1,210,成都,四川,西南,30.5728,104.0668
2021-05-07,3,20.2,26.0,16.0,21.0,0.0,13.4,25.2,169,成都,四川,西南,30.5728,104.0668
2021-05-08,3,21.7,27.6,14.6,23.0,0.0,12.2,25.6,181,成都,四川,西南,30.5728,104.0668
2021-05-09,3,23.5,29.4,16.6,25.1,0.0,11.9,22.7,225,成都,四川,西南,30.5728,104.0668
2021-05-10,65,22.9,26.4,20.0,24.5,12.1,19.2,37.1,28,成都,四川,西南,30.5728,104.0668
2021-05-11,3,23.3,27.7,18.2,24.5,0.0,7.0,27.0,333,成都,四川,西南,30.5728,104.0668
2021-05-12,63,21.9,25.2,19.8,23.9,11.5,9.6,20.5,73,成都,四川,西南,30.5728,104.0668
2021-05-13,55,22.6,27.4,19.2,24.6,5.2,8.2,20.9,27,成都,四川,西南,30.5728,104.0668
2021-05-14,53,23.2,28.0,19.2,25.7,3.7,14.1,27.0,28,成都,四川,西南,30.5728,104.0668
2021-05-15,53,22.1,26.0,18.9,21.2,1.3,18.2,33.1,28,成都,四川,西南,30.5728,104.0668
2021-05-16,51,20.7,24.8,16.9,21.3,0.3,14.6,26.3,294,成都,四川,西南,30.5728,104.0668
2021-05-17,55,21.4,26.2,17.6,22.2,2.6,14.2,24.5,13,成都,四川,西南,30.5728,104.0668
