time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon
2021-04-16,75,7.1,13.1,3.5,4.0,3.8,13.2,35.6,52,拉萨,西藏,西南,29.652,91.1721
2021-04-17,71,6.8,12.7,2.4,4.0,0.3,16.9,44.6,43,拉萨,西藏,西南,29.652,91.1721
2021-04-18,71,7.6,15.2,2.3,4.9,0.7,16.1,45.7,228,拉萨,西藏,西南,29.652,91.1721
2021-04-19,71,8.0,14.8,2.1,4.4,0.1,18.8,56.9,249,拉萨,西藏,西南,29.652,91.1721
2021-04-20,2,8.0,15.1,-1.5,3.9,0.0,18.0,55.8,239,拉萨,西藏,西南,29.652,91.1721
2021-04-21,3,8.5,17.0,-0.2,4.6,0.0,17.5,58.7,218,拉萨,西藏,西南,29.652,91.1721
2021-04-22,3,10.1,15.6,5.0,5.8,0.0,20.8,63.7,219,拉萨,西藏,西南,29.652,91.1721
2021-04-23,2,8.6,15.0,-0.8,4.5,0.0,18.0,56.2,253,拉萨,西藏,西南,29.652,91.1721
2021-04-24,3,10.0,17.7,0.4,5.8,0.0,20.8,61.2,229,拉萨,西藏,西南,29.652,91.1721
2021-04-25,3,8.3,13.3,1.1,4.3,0.0,15.2,47.2,48,拉萨,西藏,西南,29.652,91.1721
2021-04-26,73,8.0,12.5,2.9,4.6,1.5,16.4,43.9,107,拉萨,西藏,西南,29.652,91.1721
2021-04-27,71,8.8,13.9,1.8,5.2,0.1,12.2,36.4,91,拉萨,西藏,西南,29.652,91.1721
2021-04-28,71,9.0,13.2,5.6,4.7,0.2,15.9,48.6,67,拉萨,西藏,西南,29.652,91.1721
2021-04-29,3,8.9,15.1,1.1,4.8,0.0,10.0,32.8,60,拉萨,西藏,西南,29.652,91.1721
2021-04-30,71,9.7,15.0,3.1,6.6,0.3,9.3,32.0,285,拉萨,西藏,西南,29.652,91.1721
2021-05-01,71,10.4,16.4,4.4,7.5,0.2,11.5,32.8,259,拉萨,西藏,西南,29.652,91.1721
2021-05-02,73,8.2,14.5,3.9,5.8,6.3,9.4,32.8,18,拉萨,西藏,西南,29.652,91.1721
2021-05-03,71,8.8,15.9,3.5,6.5,1.6,10.5,26.6,117,拉萨,西藏,西南,29.652,91.1721
2021-05-04,73,8.9,15.5,4.2,6.8,10.0,11.7,35.6,222,拉萨,西藏,西南,29.652,91.1721
2021-05-05,75,8.1,14.0,3.7,6.3,9.6,5.7,24.5,242,拉萨,西藏,西南,29.652,91.1721
2021-05-06,73,9.0,15.5,4.4,7.0,4.7,10.7,40.3,251,拉萨,西藏,西南,29.652,91.1721
2021-05-07,3,9.9,16.1,4.5,7.7,0.0,9.2,33.1,240,拉萨,西藏,西南,29.652,91.1721
2021-05-08,73,9.2,15.4,5.4,7.2,5.3,8.4,33.8,355,拉萨,西藏,西南,29.652,91.1721
2021-05-09,51,9.2,15.5,1.9,6.8,0.4,11.9,37.8,235,拉萨,西藏,西南,29.652,91.1721
2021-05-10,73,8.4,14.6,4.3,6.0,2.1,8.7,26.6,157,拉萨,西藏,西南,29.652,91.1721
2021-05-11,75,5.9,10.1,3.0,3.9,10.5,4.6,18.0,248,拉萨,西藏,西南,29.652,91.1721
2021-05-12,75,5.6,10.3,1.6,3.7,15.5,6.6,23.4,125,拉萨,西藏,西南,29.652,91.1721
2021-05-13,73,8.1,15.6,3.5,6.2,3.6,10.6,31.7,250,拉萨,西藏,西南,29.652,91.1721
2021-05-14,73,8.9,14.9,4.2,6.3,1.5,14.0,44.6,252,拉萨,西藏,西南,29.652,91.1721
2021-05-15,73,10.0,17.4,1.4,7.0,0.7,14.4,46.4,260,拉萨,西藏,西南,29.652,91.1721
2021-05-16,2,13.4,20.6,6.4,10.3,0.0,14.2,45.4,243,拉萨,西藏,西南,29.652,91.1721
2021-05-17,2,15.2,22.0,8.6,12.0,0.0,17.0,56.2,244,拉萨,西藏,西南,29.652,91.1721
2021-05-18,51,15.4,20.5,10.0,12.9,0.1,14.3,46.1,237,拉萨,西藏,西南,29.652,91.1721
2021-05-19,51,14.7,22.9,8.4,12.7,1.9,16.8,50.4,231,拉萨,西藏,西南,29.652,91.1721
2021-05-20,51,16.3,23.5,10.6,14.3,0.3,14.0,50.8,242,拉萨,西藏,西南,29.652,91.1721
