time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon
2021-04-16,51,19.5,28.0,10.4,17.2,0.1,18.7,51.8,207,昆明,云南,西南,25.0389,102.7183
2021-04-17,63,12.8,13.6,11.8,12.0,19.4,12.9,36.4,98,昆明,云南,西南,25.0389,102.7183
2021-04-18,53,16.5,22.3,11.9,15.1,2.3,18.2,42.8,210,昆明,云南,西南,25.0389,102.7183
2021-04-19,51,17.2,23.8,12.4,15.1,0.4,24.7,55.4,232,昆明,云南,西南,25.0389,102.7183
2021-04-20,1,17.6,25.3,10.1,14.7,0.0,22.4,52.2,243,昆明,云南,西南,25.0389,102.7183
2021-04-21,0,19.0,27.4,10.8,16.0,0.0,21.6,50.4,247,昆明,云南,西南,25.0389,102.7183
2021-04-22,0,21.0,28.9,13.1,18.5,0.0,21.8,49.3,221,昆明,云南,西南,25.0389,102.7183
2021-04-23,2,22.4,30.8,14.5,19.2,0.0,26.4,62.3,246,昆明,云南,西南,25.0389,102.7183
2021-04-24,3,23.0,30.3,16.6,19.4,0.0,19.3,45.0,248,昆明,云南,西南,25.0389,102.7183
2021-04-25,3,23.1,30.2,13.5,20.3,0.0,18.8,45.7,232,昆明,云南,西南,25.0389,102.7183
2021-04-26,61,18.6,24.2,13.3,17.7,4.1,22.3,51.5,142,昆明,云南,西南,25.0389,102.7183
2021-04-27,63,16.4,20.5,14.4,16.1,22.9,20.5,45.4,119,昆明,云南,西南,25.0389,102.7183
2021-04-28,63,15.0,19.5,11.2,14.4,17.0,20.3,45.4,88,昆明,云南,西南,25.0389,102.7183
2021-04-29,51,14.9,21.0,9.4,14.1,1.2,13.4,28.8,105,昆明,云南,西南,25.0389,102.7183
2021-04-30,55,17.8,24.9,10.9,17.3,1.6,16.2,37.4,227,昆明,云南,西南,25.0389,102.7183
2021-05-01,63,16.8,22.8,12.6,16.7,9.9,13.2,33.8,198,昆明,云南,西南,25.0389,102.7183
2021-05-02,61,18.1,24.4,12.4,17.2,6.1,18.9,46.1,222,昆明,云南,西南,25.0389,102.7183
2021-05-03,51,18.7,25.0,12.8,17.2,0.1,22.1,51.8,235,昆明,云南,西南,25.0389,102.7183
2021-05-04,51,18.8,25.3,12.7,17.7,0.4,18.5,37.1,219,昆明,云南,西南,25.0389,102.7183
2021-05-05,63,17.5,22.9,13.6,16.7,7.4,20.7,50.8,152,昆明,云南,西南,25.0389,102.7183
2021-05-06,53,18.2,22.6,13.4,16.6,2.0,24.5,55.8,223,昆明,云南,西南,25.0389,102.7183
2021-05-07,61,17.3,22.2,11.9,16.0,1.4,22.0,52.6,235,昆明,云南,西南,25.0389,102.7183
2021-05-08,51,18.6,25.0,10.9,17.3,0.1,15.4,36.4,244,昆明,云南,西南,25.0389,102.7183
2021-05-09,3,20.2,27.0,12.4,18.3,0.0,22.5,52.9,228,昆明,云南,西南,25.0389,102.7183
2021-05-10,3,19.5,25.0,12.4,16.8,0.0,26.9,63.4,243,昆明,云南,西南,25.0389,102.7183
2021-05-11,51,20.6,27.5,14.0,18.6,0.2,20.2,45.4,233,昆明,云南,西南,25.0389,102.7183
2021-05-12,3,20.4,27.4,13.9,18.4,0.0,21.7,51.5,235,昆明,云南,西南,25.0389,102.7183
2021-05-13,51,20.0,27.0,13.6,17.6,0.1,27.1,62.3,236,昆明,云南,西南,25.0389,102.7183
