time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon
2021-04-16,51,17.3,24.2,10.2,17.9,0.6,9.9,20.9,257,杭州,浙江,华东,30.2741,120.1551
2021-04-17,3,17.5,23.6,12.6,16.7,0.0,23.7,45.7,356,杭州,浙江,华东,30.2741,120.1551
2021-04-18,3,14.3,18.6,9.6,12.3,0.0,12.9,26.3,86,杭州,浙江,华东,30.2741,120.1551
2021-04-19,3,16.1,22.5,9.8,15.6,0.0,14.6,28.1,93,杭州,浙江,华东,30.2741,120.1551
2021-04-20,3,18.4,24.3,13.1,17.7,0.0,18.9,35.3,99,杭州,浙江,华东,30.2741,120.1551
2021-04-21,3,20.7,26.5,15.2,20.4,0.0,18.1,33.1,134,杭州,浙江,华东,30.2741,120.1551
2021-04-22,61,19.7,23.7,16.5,20.8,5.5,11.5,30.2,129,杭州,浙江,华东,30.2741,120.1551
2021-04-23,3,20.3,24.2,17.3,21.2,0.0,16.3,32.8,14,杭州,浙江,华东,30.2741,120.1551
2021-04-24,51,19.1,21.3,17.3,19.9,3.6,15.4,31.3,36,杭州,浙江,华东,30.2741,120.1551
2021-04-25,53,18.3,21.1,16.0,18.9,2.5,12.9,32.0,55,杭州,浙江,华东,30.2741,120.1551
2021-04-26,3,18.6,22.9,15.7,19.0,0.0,15.1,27.0,88,杭州,浙江,华东,30.2741,120.1551
2021-04-27,61,18.0,20.9,16.0,19.5,8.4,9.3,17.3,325,杭州,浙江,华东,30.2741,120.1551
2021-04-28,51,19.0,23.0,15.1,20.0,0.7,9.7,22.3,353,杭州,浙江,华东,30.2741,120.1551
2021-04-29,3,21.2,26.3,15.2,19.9,0.0,23.1,45.0,230,杭州,浙江,华东,30.2741,120.1551
2021-04-30,3,24.2,29.8,18.3,22.7,0.0,27.4,51.5,228,杭州,浙江,华东,30.2741,120.1551
2021-05-01,51,22.3,27.3,17.4,21.8,0.4,16.9,35.3,358,杭州,浙江,华东,30.2741,120.1551
2021-05-02,3,18.8,23.5,15.3,17.0,0.0,23.8,45.4,76,杭州,浙江,华东,30.2741,120.1551
2021-05-03,3,22.2,30.5,13.9,21.5,0.0,21.0,40.7,155,杭州,浙江,华东,30.2741,120.1551
2021-05-04,61,21.5,24.1,18.5,22.6,9.8,22.5,41.8,266,杭州,浙江,华东,30.2741,120.1551
2021-05-05,3,19.8,24.9,14.2,19.5,0.0,15.6,30.2,90,杭州,浙江,华东,30.2741,120.1551
2021-05-06,51,21.5,28.5,14.6,21.1,0.3,14.1,28.4,181,杭州,浙江,华东,30.2741,120.1551
2021-05-07,3,24.5,31.2,19.0,26.4,0.0,13.7,28.4,289,杭州,浙江,华东,30.2741,120.1551
2021-05-08,3,25.2,32.0,18.6,27.1,0.0,17.1,32.0,227,杭州,浙江,华东,30.2741,120.1551
2021-05-09,1,26.6,33.5,20.1,28.6,0.0,16.9,29.2,173,杭州,浙江,华东,30.2741,120.1551
2021-05-10,53,27.9,34.6,19.8,30.1,1.1,11.0,29.2,211,杭州,浙江,华东,30.2741,120.1551
2021-05-11,65,23.6,25.5,22.1,27.4,44.3,12.8,34.9,241,杭州,浙江,华东,30.2741,120.1551
2021-05-12,65,23.3,27.9,21.0,26.9,14.0,16.5,35.3,56,杭州,浙江,华东,30.2741,120.1551
2021-05-13,63,23.2,28.0,20.3,26.5,18.4,14.0,28.1,74,杭州,浙江,华东,30.2741,120.1551
2021-05-14,63,26.1,31.4,21.6,31.0,13.3,12.0,42.8,181,杭州,浙江,华东,30.2741,120.1551
2021-05-15,3,28.7,33.6,23.9,33.3,0.0,20.1,46.8,200,杭州,浙江,华东,30.2741,120.1551
2021-05-16,61,24.2,26.9,18.7,27.1,9.1,23.9,43.9,292,杭州,浙江,华东,30.2741,120.1551
2021-05-17,53,18.9,22.4,16.1,19.2,2.6,15.5,28.8,359,杭州,浙江,华东,30.2741,120.1551
2021-05-18,61,19.6,22.2,17.8,21.2,12.1,9.3,21.6,91,杭州,浙江,华东,30.2741,120.1551
2021-05-19,61,19.5,21.5,17.0,21.2,15.5,13.6,28.4,85,杭州,浙江,华东,30.2741,120.1551
2021-05-20,61,21.0,26.1,18.3,22.3,3.1,20.4,40.3,324,杭州,浙江,华东,30.2741,120.1551
2021-05-21,51,21.0,25.6,18.0,22.7,0.8,15.9,32.4,103,杭州,浙江,华东,30.2741,120.1551
2021-05-22,51,21.0,23.6,19.0,22.0,0.4,15.9,31.3,119,杭州,浙江,华东,30.2741,120.1551
2021-05-23,63,19.8,23.1,17.8,21.3,33.9,13.0,42.5,33,杭州,浙江,华东,30.2741,120.1551
2021-05-24,53,22.2,27.1,18.0,23.8,1.0,13.0,27.7,343,杭州,浙江,华东,30.2741,120.1551
2021-05-25,3,24.9,29.9,20.5,27.5,0.0,8.0,19.1,207,杭州,浙江,华东,30.2741,120.1551
2021-05-26,65,22.4,25.0,21.0,25.3,63.5,13.7,53.6,140,杭州,浙江,华东,30.2741,120.1551
2021-05-27,61,23.6,28.2,19.3,27.1,2.1,9.9,20.9,209,杭州,浙江,华东,30.2741,120.1551
2021-05-28,3,24.7,28.1,21.4,27.1,0.0,17.3,34.2,249,杭州,浙江,华东,30.2741,120.1551
2021-05-29,3,24.6,29.2,20.5,27.3,0.0,12.7,24.1,189,杭州,浙江,华东,30.2741,120.1551
2021-05-30,3,25.2,30.0,20.4,28.8,0.0,9.8,19.8,139,杭州,浙江,华东,30.2741,120.1551
2021-05-31,3,24.5,29.3,20.3,26.5,0.0,16.5,31.0,112,杭州,浙江,华东,30.2741,120.1551
2021-06-01,53,23.3,27.7,19.2,25.4,4.5,18.2,34.9,127,杭州,浙江,华东,30.2741,120.1551
2021-06-02,61,24.5,27.6,21.9,28.5,7.1,12.4,23.4,91,杭州,浙江,华东,30.2741,120.1551
2021-06-03,63,24.5,27.5,20.7,28.9,18.1,17.5,35.6,322,杭州,浙江,华东,30.2741,120.1551
2021-06-04,61,21.0,23.3,19.4,22.8,7.1,14.0,27.7,188,杭州,浙江,华东,30.2741,120.1551
2021-06-05,3,23.1,29.4,17.2,25.0,0.0,10.5,20.2,184,杭州,浙江,华东,30.2741,120.1551
2021-06-06,2,24.3,30.8,17.6,27.0,0.0,10.3,18.7,168,杭州,浙江,华东,30.2741,120.1551
2021-06-07,3,24.8,29.4,19.1,27.7,0.0,13.0,25.2,96,杭州,浙江,华东,30.2741,120.1551
2021-06-08,3,25.2,29.9,20.6,29.0,0.0,10.0,20.5,119,杭州,浙江,华东,30.2741,120.1551
2021-06-09,65,26.9,31.8,23.5,32.3,22.7,10.5,25.9,138,杭州,浙江,华东,30.2741,120.1551
2021-06-10,65,25.2,27.2,23.6,30.5,53.3,9.7,25.2,148,杭州,浙江,华东,30.2741,120.1551
2021-06-11,53,26.5,30.5,23.4,31.7,2.8,13.3,24.8,49,杭州,浙江,华东,30.2741,120.1551
2021-06-12,63,26.5,29.5,24.2,31.9,17.7,10.5,22.7,97,杭州,浙江,华东,30.2741,120.1551
2021-06-13,63,25.5,27.6,24.5,31.1,39.7,7.0,26.6,210,杭州,浙江,华东,30.2741,120.1551
2021-06-14,63,27.3,31.2,23.8,33.4,9.2,10.7,23.4,164,杭州,浙江,华东,30.2741,120.1551
2021-06-15,61,29.5,33.0,26.0,35.0,1.7,19.1,42.8,232,杭州,浙江,华东,30.2741,120.1551
2021-06-16,61,27.2,29.8,25.1,32.9,5.8,10.9,34.6,8,杭州,浙江,华东,30.2741,120.1551
2021-06-17,65,28.2,33.2,24.6,34.7,17.2,11.7,32.8,250,杭州,浙江,华东,30.2741,120.1551
2021-06-18,65,26.5,29.4,24.4,32.0,28.3,13.5,29.2,352,杭州,浙江,华东,30.2741,120.1551
2021-06-19,63,21.8,24.2,20.2,24.7,29.2,14.2,25.6,12,杭州,浙江,华东,30.2741,120.1551
2021-06-20,63,21.8,24.2,19.9,24.7,25.3,12.1,24.8,51,杭州,浙江,华东,30.2741,120.1551
2021-06-21,3,23.1,27.5,19.2,25.5,0.0,13.7,27.7,66,杭州,浙江,华东,30.2741,120.1551
2021-06-22,3,23.8,28.5,19.6,26.9,0.0,14.8,28.8,82,杭州,浙江,华东,30.2741,120.1551
2021-06-23,3,24.4,29.2,19.8,27.3,0.0,16.3,32.0,87,杭州,浙江,华东,30.2741,120.1551
