time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon
2021-04-17,51,5.8,9.2,2.9,1.0,1.4,24.8,43.9,304,沈阳,辽宁,东北,41.8057,123.4315
2021-04-18,0,9.9,19.6,-0.4,5.5,0.0,24.5,38.9,210,沈阳,辽宁,东北,41.8057,123.4315
2021-04-19,3,16.7,25.8,8.9,12.2,0.0,26.2,44.3,237,沈阳,辽宁,东北,41.8057,123.4315
2021-04-20,3,16.0,23.1,8.2,11.9,0.0,18.0,34.2,78,沈阳,辽宁,东北,41.8057,123.4315
2021-04-21,3,18.3,27.4,9.9,14.5,0.0,26.1,43.9,203,沈阳,辽宁,东北,41.8057,123.4315
2021-04-22,53,15.9,19.9,11.7,12.2,1.2,17.9,35.6,200,沈阳,辽宁,东北,41.8057,123.4315
2021-04-23,55,12.0,13.9,10.3,10.3,12.8,17.7,28.8,77,沈阳,辽宁,东北,41.8057,123.4315
2021-04-24,3,11.8,17.2,7.1,8.0,0.0,28.2,46.4,15,沈阳,辽宁,东北,41.8057,123.4315
2021-04-25,3,11.2,19.0,2.6,6.8,0.0,18.8,33.8,31,沈阳,辽宁,东北,41.8057,123.4315
2021-04-26,3,14.8,23.5,5.4,10.2,0.0,28.6,44.6,195,沈阳,辽宁,东北,41.8057,123.4315
2021-04-27,53,13.3,18.0,10.1,9.5,1.9,26.6,45.7,212,沈阳,辽宁,东北,41.8057,123.4315
2021-04-28,3,12.8,18.1,5.9,7.4,0.0,31.0,51.5,249,沈阳,辽宁,东北,41.8057,123.4315
2021-04-29,63,11.8,17.0,7.5,7.3,12.7,31.0,52.6,197,沈阳,辽宁,东北,41.8057,123.4315
2021-04-30,51,9.7,15.4,5.2,7.1,0.2,15.3,26.6,345,沈阳,辽宁,东北,41.8057,123.4315
2021-05-01,3,10.2,16.3,2.8,6.7,0.0,20.4,34.2,5,沈阳,辽宁,东北,41.8057,123.4315
2021-05-02,3,12.7,19.8,4.4,9.0,0.0,21.4,32.4,264,沈阳,辽宁,东北,41.8057,123.4315
2021-05-03,51,15.3,22.0,9.2,9.0,0.2,44.0,69.8,204,沈阳,辽宁,东北,41.8057,123.4315
2021-05-04,51,13.1,17.4,10.6,9.8,0.8,25.7,40.7,203,沈阳,辽宁,东北,41.8057,123.4315
2021-05-05,3,14.6,22.0,6.4,9.6,0.0,30.7,51.5,235,沈阳,辽宁,东北,41.8057,123.4315
2021-05-06,61,18.6,25.6,11.6,12.8,3.6,42.9,69.1,189,沈阳,辽宁,东北,41.8057,123.4315
2021-05-07,51,13.1,18.5,8.4,9.0,1.1,35.9,62.3,263,沈阳,辽宁,东北,41.8057,123.4315
2021-05-08,51,13.0,16.0,10.4,8.1,0.6,33.8,54.7,276,沈阳,辽宁,东北,41.8057,123.4315
2021-05-09,51,14.3,20.5,7.1,10.3,0.1,22.7,40.3,309,沈阳,辽宁,东北,41.8057,123.4315
2021-05-10,3,15.9,22.8,8.1,12.8,0.0,20.5,37.4,208,沈阳,辽宁,东北,41.8057,123.4315
2021-05-11,3,18.2,26.6,8.4,15.0,0.0,27.1,44.6,187,沈阳,辽宁,东北,41.8057,123.4315
2021-05-12,51,18.1,24.5,13.8,15.4,0.8,19.7,35.6,206,沈阳,辽宁,东北,41.8057,123.4315
2021-05-13,53,16.7,21.0,13.2,15.5,1.4,13.8,25.6,186,沈阳,辽宁,东北,41.8057,123.4315
2021-05-14,51,20.7,28.3,13.3,19.3,0.1,28.3,47.5,206,沈阳,辽宁,东北,41.8057,123.4315
2021-05-15,61,15.3,19.1,11.9,12.9,6.0,24.6,38.5,359,沈阳,辽宁,东北,41.8057,123.4315
2021-05-16,3,15.2,20.1,9.9,12.0,0.0,20.6,33.1,18,沈阳,辽宁,东北,41.8057,123.4315
2021-05-17,1,18.5,27.8,7.4,16.0,0.0,14.5,24.5,209,沈阳,辽宁,东北,41.8057,123.4315
2021-05-18,3,22.2,30.5,13.5,17.5,0.0,34.6,56.5,200,沈阳,辽宁,东北,41.8057,123.4315
2021-05-19,3,23.9,30.8,17.8,19.6,0.0,38.4,61.9,204,沈阳,辽宁,东北,41.8057,123.4315
2021-05-20,3,21.2,27.5,16.9,18.2,0.0,28.1,46.4,206,沈阳,辽宁,东北,41.8057,123.4315
2021-05-21,3,22.0,29.5,15.0,20.0,0.0,22.2,38.2,214,沈阳,辽宁,东北,41.8057,123.4315
2021-05-22,3,24.3,31.0,17.1,21.9,0.0,33.2,54.0,204,沈阳,辽宁,东北,41.8057,123.4315
2021-05-23,63,15.9,21.0,11.4,14.2,13.6,22.8,39.2,215,沈阳,辽宁,东北,41.8057,123.4315
2021-05-24,3,15.8,21.5,9.1,11.8,0.0,25.9,44.3,243,沈阳,辽宁,东北,41.8057,123.4315
2021-05-25,3,16.6,22.6,10.7,12.7,0.0,22.0,37.8,240,沈阳,辽宁,东北,41.8057,123.4315
2021-05-26,55,13.8,16.7,10.1,11.4,6.2,28.1,43.6,153,沈阳,辽宁,东北,41.8057,123.4315
2021-05-27,53,15.8,23.6,6.8,14.3,1.8,15.8,27.7,193,沈阳,辽宁,东北,41.8057,123.4315
2021-05-28,63,15.4,19.7,13.4,14.2,19.3,21.1,45.7,15,沈阳,辽宁,东北,41.8057,123.4315
2021-05-29,3,16.7,22.7,9.4,15.4,0.0,14.0,23.0,241,沈阳,辽宁,东北,41.8057,123.4315
2021-05-30,51,17.1,21.9,12.2,15.4,0.1,17.6,30.6,200,沈阳,辽宁,东北,41.8057,123.4315
2021-05-31,51,18.8,26.1,10.4,17.4,0.3,20.0,31.0,186,沈阳,辽宁,东北,41.8057,123.4315
2021-06-01,61,19.8,24.6,15.6,19.3,5.2,20.0,32.8,216,沈阳,辽宁,东北,41.8057,123.4315
2021-06-02,63,18.4,22.7,15.1,17.0,28.8,33.0,52.6,182,沈阳,辽宁,东北,41.8057,123.4315
2021-06-03,51,17.9,24.0,12.4,15.7,0.4,25.7,41.8,235,沈阳,辽宁,东北,41.8057,123.4315
2021-06-04,51,16.9,20.9,11.8,14.9,0.5,21.7,36.0,242,沈阳,辽宁,东北,41.8057,123.4315
2021-06-05,51,17.9,20.8,14.9,16.5,0.2,21.0,37.4,258,沈阳,辽宁,东北,41.8057,123.4315
2021-06-06,2,19.1,24.8,13.4,18.9,0.0,15.0,27.4,51,沈阳,辽宁,东北,41.8057,123.4315
2021-06-07,3,21.1,28.0,12.6,20.9,0.0,13.5,23.0,147,沈阳,辽宁,东北,41.8057,123.4315
2021-06-08,51,22.5,29.1,15.0,22.8,0.1,20.7,31.0,171,沈阳,辽宁,东北,41.8057,123.4315
2021-06-09,3,23.2,30.1,18.4,23.3,0.0,19.1,34.2,206,沈阳,辽宁,东北,41.8057,123.4315
2021-06-10,63,20.1,22.9,18.5,21.5,21.7,14.6,30.2,158,沈阳,辽宁,东北,41.8057,123.4315
2021-06-11,3,22.5,28.0,18.0,24.0,0.0,16.7,24.8,210,沈阳,辽宁,东北,41.8057,123.4315
2021-06-12,3,24.5,30.5,19.0,25.1,0.0,25.9,42.1,207,沈阳,辽宁,东北,41.8057,123.4315
2021-06-13,3,25.0,31.8,18.1,25.3,0.0,22.9,38.2,206,沈阳,辽宁,东北,41.8057,123.4315
2021-06-14,63,23.1,27.6,19.5,22.6,14.3,20.5,32.4,176,沈阳,辽宁,东北,41.8057,123.4315
2021-06-15,53,21.7,26.9,18.0,21.9,1.7,16.5,34.2,187,沈阳,辽宁,东北,41.8057,123.4315
2021-06-16,3,23.3,28.9,17.6,23.9,0.0,21.2,34.2,212,沈阳,辽宁,东北,41.8057,123.4315
2021-06-17,63,20.3,22.9,18.9,20.5,31.3,23.0,48.6,211,沈阳,辽宁,东北,41.8057,123.4315
2021-06-18,1,20.8,26.9,14.4,19.4,0.0,23.4,42.5,223,沈阳,辽宁,东北,41.8057,123.4315
2021-06-19,53,22.0,28.2,15.2,21.6,1.4,18.5,31.7,192,沈阳,辽宁,东北,41.8057,123.4315
2021-06-20,51,20.5,24.7,15.3,20.4,0.1,14.6,29.2,288,沈阳,辽宁,东北,41.8057,123.4315
2021-06-21,53,20.3,25.4,15.1,21.0,1.0,19.2,34.2,7,沈阳,辽宁,东北,41.8057,123.4315
2021-06-22,51,20.3,24.8,15.4,20.9,0.7,16.8,31.0,13,沈阳,辽宁,东北,41.8057,123.4315
2021-06-23,3,22.5,27.8,15.9,23.2,0.0,10.6,22.7,21,沈阳,辽宁,东北,41.8057,123.4315
2021-06-24,0,23.3,29.4,16.0,24.0,0.0,11.5,20.2,196,沈阳,辽宁,东北,41.8057,123.4315
2021-06-25,55,22.9,28.5,17.9,22.5,1.9,23.1,40.0,187,沈阳,辽宁,东北,41.8057,123.4315
2021-06-26,63,21.4,24.9,19.1,21.6,25.9,31.0,51.8,180,沈阳,辽宁,东北,41.8057,123.4315
2021-06-27,63,21.0,23.7,19.4,22.0,20.1,20.5,33.5,152,沈阳,辽宁,东北,41.8057,123.4315
2021-06-28,63,21.3,24.1,18.7,23.4,5.1,10.7,22.7,158,沈阳,辽宁,东北,41.8057,123.4315
2021-06-29,61,22.2,26.8,18.8,24.8,9.9,12.7,28.4,180,沈阳,辽宁,东北,41.8057,123.4315
2021-06-30,61,22.1,25.1,19.6,23.7,9.3,17.5,29.5,185,沈阳,辽宁,东北,41.8057,123.4315
2021-07-01,3,24.2,29.4,20.0,25.8,0.0,19.5,33.1,193,沈阳,辽宁,东北,41.8057,123.4315
2021-07-02,51,24.2,28.4,19.9,26.2,0.2,19.0,35.6,190,沈阳,辽宁,东北,41.8057,123.4315
2021-07-03,53,22.8,26.2,19.7,25.7,4.6,12.2,29.2,161,沈阳,辽宁,东北,41.8057,123.4315
2021-07-04,55,22.5,25.5,19.9,25.0,3.3,12.2,22.3,295,沈阳,辽宁,东北,41.8057,123.4315
2021-07-05,51,23.5,27.9,18.4,25.8,0.3,12.0,22.7,209,沈阳,辽宁,东北,41.8057,123.4315
2021-07-06,51,24.0,28.0,20.5,26.5,0.5,15.1,25.2,208,沈阳,辽宁,东北,41.8057,123.4315
2021-07-07,51,24.4,27.9,20.9,27.1,1.1,16.2,32.0,206,沈阳,辽宁,东北,41.8057,123.4315
2021-07-08,63,23.5,27.0,21.3,26.4,9.8,14.8,34.9,201,沈阳,辽宁,东北,41.8057,123.4315
2021-07-09,63,22.0,26.0,20.2,24.4,24.5,17.9,32.0,187,沈阳,辽宁,东北,41.8057,123.4315
2021-07-10,53,23.9,27.9,20.0,26.4,3.2,14.0,25.9,196,沈阳,辽宁,东北,41.8057,123.4315
2021-07-11,61,25.6,30.5,21.1,28.5,4.0,18.3,29.9,188,沈阳,辽宁,东北,41.8057,123.4315
2021-07-12,55,26.6,31.3,22.2,29.8,2.0,16.8,29.9,169,沈阳,辽宁,东北,41.8057,123.4315
2021-07-13,63,26.4,29.4,24.5,28.8,13.9,29.2,55.8,158,沈阳,辽宁,东北,41.8057,123.4315
2021-07-14,63,26.5,30.0,24.7,29.3,12.5,31.4,56.9,171,沈阳,辽宁,东北,41.8057,123.4315
2021-07-15,61,26.7,29.5,24.4,30.2,4.4,20.9,46.1,179,沈阳,辽宁,东北,41.8057,123.4315
2021-07-16,51,26.9,31.4,23.5,30.4,0.1,17.3,29.9,180,沈阳,辽宁,东北,41.8057,123.4315
2021-07-17,51,26.6,31.0,22.0,31.1,0.2,12.3,24.1,180,沈阳,辽宁,东北,41.8057,123.4315
2021-07-18,51,26.8,30.8,23.4,31.1,0.1,17.0,29.2,192,沈阳,辽宁,东北,41.8057,123.4315
