time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon
2021-04-16,51,14.5,20.9,6.8,10.2,0.6,24.7,51.5,264,济南,山东,华东,36.6512,117.1201
2021-04-17,3,11.1,16.1,5.4,6.8,0.0,18.2,40.7,297,济南,山东,华东,36.6512,117.1201
2021-04-18,2,15.7,21.9,8.9,10.8,0.0,24.1,47.2,205,济南,山东,华东,36.6512,117.1201
2021-04-19,3,19.3,25.3,14.0,14.9,0.0,27.5,52.2,210,济南,山东,华东,36.6512,117.1201
2021-04-20,3,18.1,22.3,12.6,15.5,0.0,17.2,32.0,160,济南,山东,华东,36.6512,117.1201
2021-04-21,53,15.2,18.1,11.8,13.2,2.2,13.9,31.7,108,济南,山东,华东,36.6512,117.1201
2021-04-22,61,13.2,15.8,10.1,12.3,8.4,11.2,26.6,13,济南,山东,华东,36.6512,117.1201
2021-04-23,3,11.1,15.4,7.1,9.0,0.0,19.8,39.2,11,济南,山东,华东,36.6512,117.1201
2021-04-24,51,13.5,19.0,10.1,10.2,0.2,31.4,62.6,49,济南,山东,华东,36.6512,117.1201
2021-04-25,3,13.2,18.0,9.2,9.9,0.0,20.7,41.0,53,济南,山东,华东,36.6512,117.1201
2021-04-26,61,11.7,15.3,9.6,10.6,10.8,15.6,28.1,99,济南,山东,华东,36.6512,117.1201
2021-04-27,3,16.8,21.5,12.4,13.7,0.0,23.1,44.6,236,济南,山东,华东,36.6512,117.1201
2021-04-28,3,16.2,20.6,11.4,12.6,0.0,20.9,43.6,220,济南,山东,华东,36.6512,117.1201
2021-04-29,51,16.9,21.1,11.9,12.3,0.3,29.2,60.8,250,济南,山东,华东,36.6512,117.1201
2021-04-30,51,13.8,20.9,7.8,10.3,0.6,23.1,50.0,79,济南,山东,华东,36.6512,117.1201
2021-05-01,1,13.8,20.9,6.9,9.9,0.0,25.0,49.7,282,济南,山东,华东,36.6512,117.1201
2021-05-02,3,14.4,20.5,8.9,11.2,0.0,14.7,27.4,109,济南,山东,华东,36.6512,117.1201
2021-05-03,61,14.0,15.7,11.9,11.8,5.5,18.8,36.0,176,济南,山东,华东,36.6512,117.1201
2021-05-04,3,15.8,22.1,10.1,13.4,0.0,21.9,45.4,313,济南,山东,华东,36.6512,117.1201
2021-05-05,0,18.9,25.0,11.5,14.4,0.0,27.7,52.2,204,济南,山东,华东,36.6512,117.1201
2021-05-06,2,22.8,28.7,18.0,18.6,0.0,33.3,64.1,209,济南,山东,华东,36.6512,117.1201
2021-05-07,0,18.7,23.3,12.3,14.5,0.0,25.2,46.4,265,济南,山东,华东,36.6512,117.1201
2021-05-08,2,21.5,26.8,17.6,16.9,0.0,29.1,54.4,175,济南,山东,华东,36.6512,117.1201
2021-05-09,3,21.9,27.4,17.1,19.0,0.0,18.4,34.9,148,济南,山东,华东,36.6512,117.1201
2021-05-10,63,17.5,20.9,13.3,16.0,21.3,21.9,45.0,58,济南,山东,华东,36.6512,117.1201
2021-05-11,3,16.3,22.4,10.4,15.1,0.0,16.5,33.5,70,济南,山东,华东,36.6512,117.1201
2021-05-12,3,19.5,25.2,12.9,19.9,0.0,9.0,20.5,103,济南,山东,华东,36.6512,117.1201
2021-05-13,3,22.5,27.5,17.6,23.2,0.0,17.3,32.0,159,济南,山东,华东,36.6512,117.1201
2021-05-14,51,21.2,24.5,18.2,22.6,0.6,16.7,31.0,167,济南,山东,华东,36.6512,117.1201
2021-05-15,53,17.9,22.0,11.6,17.3,2.2,30.2,61.2,48,济南,山东,华东,36.6512,117.1201
2021-05-16,61,13.5,17.5,10.4,11.3,8.9,20.5,42.8,6,济南,山东,华东,36.6512,117.1201
2021-05-17,3,18.8,24.7,12.3,16.7,0.0,17.2,35.3,227,济南,山东,华东,36.6512,117.1201
2021-05-18,3,20.5,25.9,15.7,18.0,0.0,22.1,42.5,207,济南,山东,华东,36.6512,117.1201
2021-05-19,3,21.4,26.5,17.3,20.5,0.0,23.0,43.2,202,济南,山东,华东,36.6512,117.1201
2021-05-20,3,20.3,24.6,17.0,19.6,0.0,14.7,30.2,200,济南,山东,华东,36.6512,117.1201
2021-05-21,3,22.8,27.9,17.7,22.8,0.0,18.7,34.6,203,济南,山东,华东,36.6512,117.1201
2021-05-22,3,25.6,30.2,21.0,26.0,0.0,20.5,41.8,191,济南,山东,华东,36.6512,117.1201
2021-05-23,53,18.7,24.6,15.2,17.5,2.9,24.0,46.1,168,济南,山东,华东,36.6512,117.1201
2021-05-24,3,21.3,27.0,16.5,18.2,0.0,31.7,61.2,221,济南,山东,华东,36.6512,117.1201
2021-05-25,3,21.8,27.9,13.2,18.0,0.0,33.6,64.4,212,济南,山东,华东,36.6512,117.1201
2021-05-26,53,22.8,28.1,16.7,20.0,0.6,34.8,67.0,211,济南,山东,华东,36.6512,117.1201
2021-05-27,0,23.6,30.1,16.0,20.9,0.0,34.8,69.5,210,济南,山东,华东,36.6512,117.1201
2021-05-28,1,21.6,25.7,17.6,19.0,0.0,18.7,41.0,311,济南,山东,华东,36.6512,117.1201
2021-05-29,1,24.0,31.1,17.0,20.2,0.0,35.4,67.7,182,济南,山东,华东,36.6512,117.1201
2021-05-30,2,21.0,26.9,14.7,21.1,0.0,16.4,38.2,53,济南,山东,华东,36.6512,117.1201
2021-05-31,63,24.3,32.1,16.5,25.8,3.0,16.3,35.6,263,济南,山东,华东,36.6512,117.1201
2021-06-01,65,23.1,28.5,18.9,24.8,22.9,11.5,33.5,111,济南,山东,华东,36.6512,117.1201
2021-06-02,55,25.3,30.8,21.0,26.3,1.2,24.1,45.7,187,济南,山东,华东,36.6512,117.1201
2021-06-03,61,20.5,23.2,16.4,20.1,4.3,21.5,44.6,359,济南,山东,华东,36.6512,117.1201
2021-06-04,1,23.4,30.0,17.2,20.2,0.0,26.4,53.6,213,济南,山东,华东,36.6512,117.1201
2021-06-05,1,24.2,30.0,15.6,23.0,0.0,13.4,29.9,84,济南,山东,华东,36.6512,117.1201
2021-06-06,3,28.4,34.0,22.1,27.4,0.0,18.3,33.8,184,济南,山东,华东,36.6512,117.1201
2021-06-07,3,29.4,34.0,24.4,29.2,0.0,24.7,46.4,194,济南,山东,华东,36.6512,117.1201
2021-06-08,3,26.9,33.7,20.6,28.5,0.0,12.9,25.6,66,济南,山东,华东,36.6512,117.1201
2021-06-09,3,26.3,31.2,19.8,27.2,0.0,10.5,24.1,224,济南,山东,华东,36.6512,117.1201
2021-06-10,61,23.5,26.7,20.6,25.9,3.5,12.2,32.8,281,济南,山东,华东,36.6512,117.1201
2021-06-11,3,25.9,32.9,19.3,28.2,0.0,16.1,26.6,59,济南,山东,华东,36.6512,117.1201
2021-06-12,51,29.6,33.8,25.2,31.0,0.1,22.7,42.8,182,济南,山东,华东,36.6512,117.1201
2021-06-13,61,29.3,34.0,25.3,31.3,4.1,19.6,37.4,188,济南,山东,华东,36.6512,117.1201
2021-06-14,61,25.6,29.6,23.9,30.1,11.3,17.6,38.5,192,济南,山东,华东,36.6512,117.1201
