time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon
2021-04-16,51,27.7,32.1,23.8,31.0,0.3,17.7,35.3,136,海口,海南,华南,20.0442,110.1999
2021-04-17,63,25.7,28.7,23.8,29.4,10.8,21.3,40.0,89,海口,海南,华南,20.0442,110.1999
2021-04-18,51,25.8,29.0,23.7,28.5,1.0,18.0,34.9,106,海口,海南,华南,20.0442,110.1999
2021-04-19,61,25.9,28.9,23.4,29.4,6.7,18.4,31.7,136,海口,海南,华南,20.0442,110.1999
2021-04-20,53,26.7,30.4,24.5,29.5,1.4,24.3,43.2,143,海口,海南,华南,20.0442,110.1999
2021-04-21,51,26.8,30.4,23.8,29.8,0.3,20.8,36.0,137,海口,海南,华南,20.0442,110.1999
2021-04-22,51,26.7,30.5,23.6,30.9,0.5,16.9,34.6,124,海口,海南,华南,20.0442,110.1999
2021-04-23,51,26.9,29.7,23.8,31.0,0.4,22.9,38.2,133,海口,海南,华南,20.0442,110.1999
2021-04-24,51,28.3,32.8,24.9,31.3,0.1,23.7,41.0,150,海口,海南,华南,20.0442,110.1999
2021-04-25,61,27.9,31.6,24.9,32.4,5.7,23.0,38.9,139,海口,海南,华南,20.0442,110.1999
2021-04-26,63,26.4,29.7,24.5,30.2,8.3,22.5,40.3,129,海口,海南,华南,20.0442,110.1999
2021-04-27,63,25.8,27.8,24.6,30.9,7.9,11.0,33.1,114,海口,海南,华南,20.0442,110.1999
2021-04-28,53,25.6,28.0,23.6,30.6,3.0,13.4,25.9,54,海口,海南,华南,20.0442,110.1999
2021-04-29,61,24.3,25.3,23.2,27.2,6.8,19.3,35.3,44,海口,海南,华南,20.0442,110.1999
2021-04-30,51,25.0,27.6,22.2,28.9,0.3,14.0,27.4,92,海口,海南,华南,20.0442,110.1999
2021-05-01,53,26.1,28.8,23.3,30.8,1.4,10.6,23.8,130,海口,海南,华南,20.0442,110.1999
2021-05-02,63,26.4,29.6,24.6,31.2,7.7,17.6,31.3,149,海口,海南,华南,20.0442,110.1999
2021-05-03,51,27.8,31.6,24.9,30.7,0.3,26.6,47.5,152,海口,海南,华南,20.0442,110.1999
2021-05-04,51,28.4,32.2,25.0,32.6,0.4,20.9,36.4,156,海口,海南,华南,20.0442,110.1999
2021-05-05,51,28.0,31.6,25.0,32.5,0.2,20.7,40.3,121,海口,海南,华南,20.0442,110.1999
2021-05-06,51,27.6,30.4,25.0,32.7,1.5,15.8,30.6,116,海口,海南,华南,20.0442,110.1999
2021-05-07,53,28.0,31.3,25.1,32.9,1.9,15.5,26.3,130,海口,海南,华南,20.0442,110.1999
2021-05-08,51,27.2,29.7,24.0,32.2,0.5,15.4,26.6,203,海口,海南,华南,20.0442,110.1999
2021-05-09,2,28.6,33.4,23.8,32.6,0.0,19.4,35.3,136,海口,海南,华南,20.0442,110.1999
2021-05-10,3,29.2,32.8,25.0,32.8,0.0,23.6,39.2,158,海口,海南,华南,20.0442,110.1999
2021-05-11,51,30.3,36.3,25.2,33.7,0.1,24.0,43.2,173,海口,海南,华南,20.0442,110.1999
2021-05-12,51,30.8,35.8,26.3,34.6,0.3,23.9,40.3,163,海口,海南,华南,20.0442,110.1999
2021-05-13,51,30.6,36.3,26.2,33.9,0.8,22.9,41.8,160,海口,海南,华南,20.0442,110.1999
2021-05-14,51,30.8,36.0,26.8,34.0,0.1,25.5,47.9,159,海口,海南,华南,20.0442,110.1999
2021-05-15,2,31.5,37.2,27.3,34.9,0.0,25.9,47.9,170,海口,海南,华南,20.0442,110.1999
2021-05-16,51,31.8,37.9,27.0,35.1,0.1,24.6,43.6,170,海口,海南,华南,20.0442,110.1999
2021-05-17,51,31.6,36.9,27.1,35.3,0.2,22.5,42.1,168,海口,海南,华南,20.0442,110.1999
2021-05-18,51,31.5,36.6,27.1,35.4,0.2,21.3,37.8,170,海口,海南,华南,20.0442,110.1999
2021-05-19,3,31.9,37.4,27.3,35.2,0.0,25.8,46.1,167,海口,海南,华南,20.0442,110.1999
2021-05-20,51,31.6,35.7,27.4,34.7,0.2,25.9,47.5,162,海口,海南,华南,20.0442,110.1999
2021-05-21,51,31.7,36.7,27.4,35.2,0.2,25.4,43.2,163,海口,海南,华南,20.0442,110.1999
2021-05-22,51,31.5,36.4,27.0,34.8,0.3,25.0,46.4,152,海口,海南,华南,20.0442,110.1999
2021-05-23,51,31.2,35.6,26.8,35.1,0.2,23.3,41.8,129,海口,海南,华南,20.0442,110.1999
2021-05-24,63,30.5,33.6,27.7,35.5,4.6,21.0,43.6,96,海口,海南,华南,20.0442,110.1999
2021-05-25,61,30.2,33.7,27.5,34.6,3.2,22.4,43.9,133,海口,海南,华南,20.0442,110.1999
2021-05-26,53,30.6,35.7,26.4,34.4,0.7,23.8,42.5,152,海口,海南,华南,20.0442,110.1999
2021-05-27,51,30.8,34.8,27.0,34.8,1.2,24.1,46.4,153,海口,海南,华南,20.0442,110.1999
2021-05-28,53,30.8,35.6,27.1,36.1,1.0,16.2,36.0,192,海口,海南,华南,20.0442,110.1999
2021-05-29,51,31.0,35.1,27.3,36.4,0.5,15.8,40.3,229,海口,海南,华南,20.0442,110.1999
2021-05-30,3,32.0,36.8,27.7,37.0,0.0,22.5,43.2,243,海口,海南,华南,20.0442,110.1999
2021-05-31,3,32.5,37.0,28.5,37.8,0.0,18.2,37.4,153,海口,海南,华南,20.0442,110.1999
2021-06-01,51,32.8,37.7,29.0,37.9,0.1,17.7,42.8,168,海口,海南,华南,20.0442,110.1999
2021-06-02,51,32.5,37.8,28.4,37.0,0.6,22.6,43.9,152,海口,海南,华南,20.0442,110.1999
2021-06-03,3,32.4,36.9,27.7,37.4,0.0,18.8,35.3,147,海口,海南,华南,20.0442,110.1999
2021-06-04,63,29.2,31.8,27.7,34.1,5.7,23.1,49.7,287,海口,海南,华南,20.0442,110.1999
2021-06-05,51,28.5,30.1,27.0,31.4,0.6,24.0,49.3,293,海口,海南,华南,20.0442,110.1999
2021-06-06,3,29.5,33.3,26.2,33.0,0.0,17.5,30.6,339,海口,海南,华南,20.0442,110.1999
2021-06-07,61,28.6,32.0,26.8,33.7,8.5,15.3,36.0,113,海口,海南,华南,20.0442,110.1999
2021-06-08,61,28.7,32.4,26.3,34.1,5.0,14.9,33.1,132,海口,海南,华南,20.0442,110.1999
2021-06-09,65,28.0,31.2,26.0,33.9,48.7,14.1,31.3,161,海口,海南,华南,20.0442,110.1999
2021-06-10,63,28.4,31.0,26.1,34.0,5.0,17.5,34.2,88,海口,海南,华南,20.0442,110.1999
2021-06-11,61,27.1,28.9,25.8,31.6,10.0,27.9,48.6,64,海口,海南,华南,20.0442,110.1999
2021-06-12,61,28.2,30.9,26.5,30.6,5.8,38.0,70.2,100,海口,海南,华南,20.0442,110.1999
2021-06-13,61,28.4,30.6,26.5,32.7,4.5,23.0,41.4,142,海口,海南,华南,20.0442,110.1999
2021-06-14,51,29.2,33.0,26.3,34.3,1.4,15.9,31.7,173,海口,海南,华南,20.0442,110.1999
2021-06-15,51,30.0,33.6,26.4,35.1,0.2,17.8,36.7,180,海口,海南,华南,20.0442,110.1999
