time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon
2021-04-17,0,14.0,21.5,7.3,9.2,0.0,22.0,41.0,273,石家庄,河北,华北,38.0428,114.5149
2021-04-18,0,16.5,24.8,8.6,12.9,0.0,23.1,46.8,165,石家庄,河北,华北,38.0428,114.5149
2021-04-19,3,19.7,27.9,11.1,17.2,0.0,17.1,36.7,178,石家庄,河北,华北,38.0428,114.5149
2021-04-20,3,18.4,25.2,12.6,15.9,0.0,25.0,51.1,162,石家庄,河北,华北,38.0428,114.5149
2021-04-21,53,14.7,18.9,11.1,13.7,1.9,8.7,23.8,33,石家庄,河北,华北,38.0428,114.5149
2021-04-22,53,16.2,21.8,12.1,14.8,3.5,10.5,25.6,25,石家庄,河北,华北,38.0428,114.5149
2021-04-23,3,15.8,22.9,9.7,14.2,0.0,18.8,36.7,47,石家庄,河北,华北,38.0428,114.5149
2021-04-24,3,15.5,19.9,10.8,13.8,0.0,15.3,32.8,27,石家庄,河北,华北,38.0428,114.5149
2021-04-25,3,15.4,19.5,12.4,14.2,0.0,8.4,21.2,142,石家庄,河北,华北,38.0428,114.5149
2021-04-26,51,17.1,23.1,12.2,15.7,0.5,19.8,37.8,163,石家庄,河北,华北,38.0428,114.5149
2021-04-27,3,19.1,26.4,12.0,14.4,0.0,24.5,50.8,302,石家庄,河北,华北,38.0428,114.5149
2021-04-28,3,17.1,23.2,8.6,12.7,0.0,18.4,41.8,282,石家庄,河北,华北,38.0428,114.5149
2021-04-29,3,18.3,24.0,13.9,13.0,0.0,28.6,61.9,310,石家庄,河北,华北,38.0428,114.5149
2021-04-30,51,13.7,19.1,9.4,10.0,0.6,20.8,45.7,36,石家庄,河北,华北,38.0428,114.5149
2021-05-01,3,15.9,24.1,7.2,13.1,0.0,11.9,25.2,127,石家庄,河北,华北,38.0428,114.5149
2021-05-02,3,15.2,21.5,7.1,11.1,0.0,21.7,44.3,165,石家庄,河北,华北,38.0428,114.5149
2021-05-03,51,18.1,24.2,12.2,15.9,0.1,19.7,40.0,170,石家庄,河北,华北,38.0428,114.5149
2021-05-04,3,19.1,25.1,11.2,15.0,0.0,29.3,57.6,314,石家庄,河北,华北,38.0428,114.5149
2021-05-05,1,21.6,30.4,12.4,17.0,0.0,26.0,48.2,212,石家庄,河北,华北,38.0428,114.5149
2021-05-06,3,24.0,31.9,14.1,18.0,0.0,38.7,74.5,281,石家庄,河北,华北,38.0428,114.5149
2021-05-07,0,21.7,29.0,15.9,16.8,0.0,31.0,58.3,282,石家庄,河北,华北,38.0428,114.5149
2021-05-08,3,25.1,30.6,17.1,20.7,0.0,29.5,55.1,254,石家庄,河北,华北,38.0428,114.5149
2021-05-09,3,21.0,27.8,13.6,18.6,0.0,14.3,34.2,113,石家庄,河北,华北,38.0428,114.5149
2021-05-10,3,20.5,26.0,15.9,17.5,0.0,13.8,32.8,32,石家庄,河北,华北,38.0428,114.5149
2021-05-11,3,19.1,26.2,11.5,17.5,0.0,13.2,28.4,127,石家庄,河北,华北,38.0428,114.5149
2021-05-12,2,21.1,28.0,12.7,20.6,0.0,13.2,29.5,116,石家庄,河北,华北,38.0428,114.5149
2021-05-13,3,22.5,29.7,15.4,22.4,0.0,15.2,31.3,98,石家庄,河北,华北,38.0428,114.5149
