time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon
2021-04-16,53,19.3,26.0,15.3,20.6,3.4,14.5,30.6,101,福州,福建,华东,26.0745,119.2965
2021-04-17,53,21.0,27.3,17.5,21.6,1.7,18.4,41.4,78,福州,福建,华东,26.0745,119.2965
2021-04-18,3,17.8,21.3,15.2,16.1,0.0,19.0,44.3,58,福州,福建,华东,26.0745,119.2965
2021-04-19,3,17.8,22.3,15.0,16.3,0.0,14.4,35.3,49,福州,福建,华东,26.0745,119.2965
2021-04-20,51,19.3,23.6,15.5,18.9,0.4,17.9,40.7,45,福州,福建,华东,26.0745,119.2965
2021-04-21,3,21.3,26.4,16.1,21.4,0.0,18.2,42.1,55,福州,福建,华东,26.0745,119.2965
2021-04-22,3,23.4,29.5,19.3,24.9,0.0,17.3,40.0,75,福州,福建,华东,26.0745,119.2965
2021-04-23,51,23.3,28.8,19.3,25.2,0.2,18.4,42.5,83,福州,福建,华东,26.0745,119.2965
2021-04-24,3,22.7,28.1,19.3,23.7,0.0,17.3,40.0,74,福州,福建,华东,26.0745,119.2965
2021-04-25,63,20.5,23.4,17.6,21.4,19.7,15.8,34.6,49,福州,福建,华东,26.0745,119.2965
2021-04-26,3,20.2,23.9,16.4,20.2,0.0,14.1,32.8,54,福州,福建,华东,26.0745,119.2965
2021-04-27,63,21.5,26.9,17.4,22.9,6.5,12.0,27.4,270,福州,福建,华东,26.0745,119.2965
2021-04-28,63,20.7,22.7,19.2,23.2,15.7,11.0,25.9,110,福州,福建,华东,26.0745,119.2965
2021-04-29,63,21.4,26.9,18.6,23.6,8.7,14.2,31.7,159,福州,福建,华东,26.0745,119.2965
2021-04-30,3,22.9,31.0,15.3,25.0,0.0,13.1,28.1,196,福州,福建,华东,26.0745,119.2965
2021-05-01,3,25.4,34.1,18.7,27.5,0.0,14.0,29.2,246,福州,福建,华东,26.0745,119.2965
2021-05-02,51,22.2,27.5,18.1,23.8,0.3,19.5,42.5,76,福州,福建,华东,26.0745,119.2965
