time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon
2021-04-16,3,5.0,12.6,-3.4,1.0,0.0,29.4,64.1,113,西宁,青海,西北,36.6171,101.7782
2021-04-17,3,5.0,11.5,-2.3,0.7,0.0,19.0,51.8,138,西宁,青海,西北,36.6171,101.7782
2021-04-18,3,9.7,19.4,-0.0,5.6,0.0,24.3,50.8,127,西宁,青海,西北,36.6171,101.7782
2021-04-19,51,7.6,9.8,2.6,3.6,0.8,21.8,47.5,109,西宁,青海,西北,36.6171,101.7782
2021-04-20,3,7.1,15.2,-1.0,4.2,0.0,9.7,27.0,288,西宁,青海,西北,36.6171,101.7782
2021-04-21,3,11.0,19.4,2.4,7.2,0.0,23.4,51.5,295,西宁,青海,西北,36.6171,101.7782
2021-04-22,3,11.0,17.4,3.0,8.1,0.0,12.5,27.7,121,西宁,青海,西北,36.6171,101.7782
2021-04-23,63,10.7,16.9,4.7,8.0,8.9,19.8,42.5,117,西宁,青海,西北,36.6171,101.7782
2021-04-24,63,7.3,10.5,4.1,3.8,5.8,24.6,51.1,111,西宁,青海,西北,36.6171,101.7782
2021-04-25,73,6.2,14.6,2.4,2.4,3.6,23.0,49.0,127,西宁,青海,西北,36.6171,101.7782
2021-04-26,3,4.3,11.7,-0.7,0.3,0.0,24.2,50.0,119,西宁,青海,西北,36.6171,101.7782
2021-04-27,71,3.5,11.6,-3.0,-0.4,0.6,27.6,60.1,119,西宁,青海,西北,36.6171,101.7782
2021-04-28,71,6.0,14.5,-2.9,1.2,0.3,32.8,69.1,282,西宁,青海,西北,36.6171,101.7782
2021-04-29,1,10.6,20.4,-0.8,5.7,0.0,27.9,59.4,287,西宁,青海,西北,36.6171,101.7782
2021-04-30,2,11.5,20.9,-0.1,7.6,0.0,19.3,42.1,289,西宁,青海,西北,36.6171,101.7782
2021-05-01,3,12.5,21.3,1.6,8.5,0.0,22.5,46.8,111,西宁,青海,西北,36.6171,101.7782
2021-05-02,51,14.1,22.7,4.7,10.6,0.2,23.9,54.7,320,西宁,青海,西北,36.6171,101.7782
2021-05-03,2,10.0,16.4,4.6,5.3,0.0,34.0,70.2,104,西宁,青海,西北,36.6171,101.7782
2021-05-04,71,5.4,11.7,0.7,1.7,1.6,18.4,45.4,105,西宁,青海,西北,36.6171,101.7782
2021-05-05,51,9.1,18.4,1.2,5.3,0.2,27.8,58.3,293,西宁,青海,西北,36.6171,101.7782
2021-05-06,51,10.8,21.0,-0.0,6.9,0.3,21.6,45.7,6,西宁,青海,西北,36.6171,101.7782
2021-05-07,2,13.0,22.3,3.2,9.1,0.0,14.8,48.2,340,西宁,青海,西北,36.6171,101.7782
2021-05-08,3,14.5,24.3,2.3,11.0,0.0,12.0,26.3,344,西宁,青海,西北,36.6171,101.7782
2021-05-09,3,16.9,25.6,6.4,12.8,0.0,29.3,61.6,96,西宁,青海,西北,36.6171,101.7782
2021-05-10,55,11.5,16.1,8.7,9.0,4.7,14.3,31.0,327,西宁,青海,西北,36.6171,101.7782
2021-05-11,51,12.5,20.9,4.9,10.6,0.3,16.2,34.2,337,西宁,青海,西北,36.6171,101.7782
2021-05-12,51,15.5,24.3,5.9,13.2,0.2,14.8,31.7,321,西宁,青海,西北,36.6171,101.7782
2021-05-13,3,16.9,24.6,7.7,13.8,0.0,28.7,59.8,94,西宁,青海,西北,36.6171,101.7782
2021-05-14,61,10.4,17.0,6.8,7.3,10.2,23.1,49.7,93,西宁,青海,西北,36.6171,101.7782
2021-05-15,73,6.9,12.3,2.7,4.0,7.6,20.6,43.2,117,西宁,青海,西北,36.6171,101.7782
2021-05-16,51,9.7,15.0,4.6,6.8,0.4,13.3,28.8,123,西宁,青海,西北,36.6171,101.7782
2021-05-17,51,11.8,18.1,6.7,9.4,0.1,13.8,33.5,14,西宁,青海,西北,36.6171,101.7782
2021-05-18,53,9.6,13.8,5.6,7.5,2.4,8.4,27.0,250,西宁,青海,西北,36.6171,101.7782
2021-05-19,51,11.6,17.9,6.9,8.6,0.2,21.5,48.2,333,西宁,青海,西北,36.6171,101.7782
2021-05-20,3,12.1,20.3,3.8,9.4,0.0,12.7,36.4,246,西宁,青海,西北,36.6171,101.7782
2021-05-21,3,13.0,18.8,6.9,10.5,0.0,7.9,18.0,150,西宁,青海,西北,36.6171,101.7782
2021-05-22,61,7.5,11.4,4.3,4.4,12.8,21.6,44.6,106,西宁,青海,西北,36.6171,101.7782
2021-05-23,51,9.0,17.0,3.8,6.0,0.1,25.0,51.5,117,西宁,青海,西北,36.6171,101.7782
2021-05-24,3,11.3,18.7,4.2,8.8,0.0,27.5,56.2,105,西宁,青海,西北,36.6171,101.7782
2021-05-25,51,13.3,19.8,6.1,10.1,0.5,16.0,40.0,334,西宁,青海,西北,36.6171,101.7782
2021-05-26,51,14.3,20.6,7.3,12.0,0.1,9.4,24.8,303,西宁,青海,西北,36.6171,101.7782
2021-05-27,3,15.5,23.7,6.4,13.1,0.0,16.4,34.2,75,西宁,青海,西北,36.6171,101.7782
2021-05-28,53,15.3,21.0,11.5,12.8,1.6,23.3,58.7,65,西宁,青海,西北,36.6171,101.7782
2021-05-29,3,15.9,23.0,7.0,13.9,0.0,9.0,23.4,331,西宁,青海,西北,36.6171,101.7782
2021-05-30,3,16.6,24.9,7.0,14.1,0.0,19.4,52.6,307,西宁,青海,西北,36.6171,101.7782
2021-05-31,51,14.5,20.4,8.2,11.5,0.7,24.7,52.6,94,西宁,青海,西北,36.6171,101.7782
2021-06-01,3,15.5,22.6,8.2,13.6,0.0,18.2,38.2,119,西宁,青海,西北,36.6171,101.7782
2021-06-02,51,14.6,17.6,11.0,10.6,0.1,23.2,49.0,93,西宁,青海,西北,36.6171,101.7782
2021-06-03,51,15.2,21.5,8.8,12.7,0.1,11.8,27.0,140,西宁,青海,西北,36.6171,101.7782
2021-06-04,1,16.6,23.9,7.2,13.5,0.0,14.4,33.1,297,西宁,青海,西北,36.6171,101.7782
2021-06-05,3,18.3,26.2,7.0,15.2,0.0,10.4,28.8,305,西宁,青海,西北,36.6171,101.7782
2021-06-06,55,15.8,21.4,11.9,13.6,3.1,15.2,43.2,39,西宁,青海,西北,36.6171,101.7782
2021-06-07,51,16.3,24.2,8.0,14.7,0.4,21.4,43.9,315,西宁,青海,西北,36.6171,101.7782
2021-06-08,51,17.2,24.7,8.7,15.7,0.1,18.5,44.3,43,西宁,青海,西北,36.6171,101.7782
2021-06-09,51,17.5,25.4,10.8,15.7,0.1,23.1,49.0,106,西宁,青海,西北,36.6171,101.7782
2021-06-10,63,17.7,25.6,9.8,16.4,6.6,22.5,49.3,150,西宁,青海,西北,36.6171,101.7782
2021-06-11,61,17.9,24.5,12.0,16.8,6.1,17.0,38.5,172,西宁,青海,西北,36.6171,101.7782
2021-06-12,3,19.2,26.3,10.3,17.3,0.0,15.4,37.8,138,西宁,青海,西北,36.6171,101.7782
2021-06-13,63,18.2,23.5,13.9,15.8,8.4,25.8,55.8,108,西宁,青海,西北,36.6171,101.7782
2021-06-14,51,16.1,21.7,12.6,14.9,0.8,20.5,43.2,129,西宁,青海,西北,36.6171,101.7782
2021-06-15,53,14.8,19.3,12.1,13.5,2.7,22.1,47.2,110,西宁,青海,西北,36.6171,101.7782
2021-06-16,53,10.1,11.7,8.2,8.1,7.9,16.1,34.9,113,西宁,青海,西北,36.6171,101.7782
2021-06-17,3,12.0,17.2,7.6,10.1,0.0,18.4,39.2,114,西宁,青海,西北,36.6171,101.7782
2021-06-18,3,15.2,19.8,10.7,13.5,0.0,19.4,40.7,128,西宁,青海,西北,36.6171,101.7782
2021-06-19,51,15.7,20.6,11.5,13.6,0.7,17.9,38.5,118,西宁,青海,西北,36.6171,101.7782
2021-06-20,51,16.8,22.7,12.8,15.0,0.1,19.5,42.1,130,西宁,青海,西北,36.6171,101.7782
2021-06-21,51,18.3,23.9,13.6,16.9,0.1,13.1,28.4,116,西宁,青海,西北,36.6171,101.7782
2021-06-22,53,17.3,23.6,10.3,15.6,0.5,16.8,34.2,255,西宁,青海,西北,36.6171,101.7782
2021-06-23,3,20.2,27.0,13.8,18.6,0.0,22.6,50.0,105,西宁,青海,西北,36.6171,101.7782
2021-06-24,61,16.1,19.6,13.3,14.8,14.9,19.4,42.5,115,西宁,青海,西北,36.6171,101.7782
2021-06-25,51,15.6,20.2,10.3,15.4,0.6,6.9,18.0,188,西宁,青海,西北,36.6171,101.7782
2021-06-26,51,17.8,23.5,12.6,17.4,0.5,9.9,22.7,132,西宁,青海,西北,36.6171,101.7782
2021-06-27,3,19.9,26.7,13.1,20.1,0.0,14.3,29.9,92,西宁,青海,西北,36.6171,101.7782
2021-06-28,61,17.6,22.1,14.9,17.7,6.6,15.4,34.2,145,西宁,青海,西北,36.6171,101.7782
2021-06-29,63,17.0,23.4,12.7,17.3,5.8,15.5,33.5,332,西宁,青海,西北,36.6171,101.7782
2021-06-30,61,15.3,21.6,10.3,14.8,4.4,12.0,31.3,275,西宁,青海,西北,36.6171,101.7782
2021-07-01,53,14.5,21.5,9.4,13.6,1.6,16.5,37.8,285,西宁,青海,西北,36.6171,101.7782
2021-07-02,51,15.6,22.2,9.6,14.7,0.3,12.3,25.2,192,西宁,青海,西北,36.6171,101.7782
2021-07-03,3,16.8,24.2,9.7,15.8,0.0,15.3,33.8,175,西宁,青海,西北,36.6171,101.7782
2021-07-04,53,18.5,26.4,11.7,18.1,0.5,12.7,34.2,62,西宁,青海,西北,36.6171,101.7782
2021-07-05,51,18.1,24.3,12.8,17.2,0.3,17.3,37.8,97,西宁,青海,西北,36.6171,101.7782
2021-07-06,53,17.8,24.0,13.8,18.0,3.5,11.9,29.5,310,西宁,青海,西北,36.6171,101.7782
2021-07-07,2,18.4,25.4,11.0,17.9,0.0,11.2,27.7,50,西宁,青海,西北,36.6171,101.7782
2021-07-08,3,20.4,27.1,12.1,19.6,0.0,15.5,34.6,102,西宁,青海,西北,36.6171,101.7782
2021-07-09,51,20.2,27.8,13.2,19.2,0.1,19.5,45.0,106,西宁,青海,西北,36.6171,101.7782
2021-07-10,51,18.6,24.8,14.9,17.9,0.6,19.8,40.3,240,西宁,青海,西北,36.6171,101.7782
2021-07-11,53,18.4,24.9,12.1,18.1,1.4,13.4,38.2,315,西宁,青海,西北,36.6171,101.7782
2021-07-12,51,19.4,28.1,10.7,18.8,0.1,19.1,41.4,313,西宁,青海,西北,36.6171,101.7782
2021-07-13,3,21.7,29.7,12.6,20.2,0.0,19.4,41.0,95,西宁,青海,西北,36.6171,101.7782
2021-07-14,53,19.1,22.3,16.5,18.7,2.3,15.2,33.8,168,西宁,青海,西北,36.6171,101.7782
2021-07-15,3,19.3,25.9,13.0,18.2,0.0,21.8,47.9,116,西宁,青海,西北,36.6171,101.7782
2021-07-16,51,20.7,28.5,14.9,20.5,0.6,15.9,37.1,319,西宁,青海,西北,36.6171,101.7782
2021-07-17,2,21.5,28.7,14.1,21.4,0.0,12.9,31.3,308,西宁,青海,西北,36.6171,101.7782
2021-07-18,53,21.0,28.8,13.5,20.7,1.0,14.8,35.3,313,西宁,青海,西北,36.6171,101.7782
2021-07-19,3,21.2,29.0,12.8,20.3,0.0,19.4,41.0,122,西宁,青海,西北,36.6171,101.7782
2021-07-20,3,22.7,29.4,15.2,21.5,0.0,20.9,43.6,114,西宁,青海,西北,36.6171,101.7782
2021-07-21,3,22.9,29.2,16.2,21.8,0.0,24.2,51.5,113,西宁,青海,西北,36.6171,101.7782
2021-07-22,3,24.0,30.8,17.7,23.3,0.0,19.5,42.1,112,西宁,青海,西北,36.6171,101.7782
2021-07-23,51,24.4,29.9,19.2,24.2,0.1,18.4,39.2,112,西宁,青海,西北,36.6171,101.7782
2021-07-24,53,24.3,31.9,18.3,25.7,0.7,13.8,32.0,358,西宁,青海,西北,36.6171,101.7782
2021-07-25,63,18.5,21.4,16.3,19.9,27.9,13.3,30.2,92,西宁,青海,西北,36.6171,101.7782
2021-07-26,55,17.0,21.8,13.9,16.8,3.9,12.1,25.2,117,西宁,青海,西北,36.6171,101.7782
