time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon
2021-04-16,3,15.6,23.2,7.7,12.5,0.0,17.0,34.9,191,西安,陕西,西北,34.3416,108.9398
2021-04-17,3,14.6,20.6,8.2,9.9,0.0,20.4,43.9,46,西安,陕西,西北,34.3416,108.9398
2021-04-18,3,18.0,25.6,10.6,15.4,0.0,20.1,36.4,57,西安,陕西,西北,34.3416,108.9398
2021-04-19,55,19.0,26.7,10.8,17.4,1.5,21.9,40.0,70,西安,陕西,西北,34.3416,108.9398
2021-04-20,53,15.2,17.0,13.6,15.7,5.4,8.9,19.1,217,西安,陕西,西北,34.3416,108.9398
2021-04-21,51,14.8,18.6,12.6,14.2,1.3,13.7,27.7,32,西安,陕西,西北,34.3416,108.9398
2021-04-22,3,16.3,24.2,9.9,15.4,0.0,17.8,38.5,36,西安,陕西,西北,34.3416,108.9398
2021-04-23,63,15.3,18.1,12.9,14.3,25.2,18.6,48.2,42,西安,陕西,西北,34.3416,108.9398
2021-04-24,55,12.6,13.2,11.6,10.8,6.1,20.4,41.0,42,西安,陕西,西北,34.3416,108.9398
2021-04-25,55,12.4,15.0,10.1,11.7,6.2,11.0,23.4,21,西安,陕西,西北,34.3416,108.9398
2021-04-26,51,14.2,19.5,9.1,13.6,0.2,9.0,23.0,197,西安,陕西,西北,34.3416,108.9398
2021-04-27,53,15.4,22.3,10.5,14.6,2.1,19.4,37.8,206,西安,陕西,西北,34.3416,108.9398
2021-04-28,3,15.8,22.8,9.5,13.6,0.0,17.1,38.9,215,西安,陕西,西北,34.3416,108.9398
2021-04-29,3,19.6,27.6,11.4,16.8,0.0,20.9,44.6,217,西安,陕西,西北,34.3416,108.9398
2021-04-30,2,22.7,31.5,15.8,20.8,0.0,22.9,50.4,245,西安,陕西,西北,34.3416,108.9398
2021-05-01,3,20.3,27.4,12.5,18.9,0.0,15.4,27.7,27,西安,陕西,西北,34.3416,108.9398
2021-05-02,63,16.7,19.4,12.1,14.1,8.0,25.4,50.0,37,西安,陕西,西北,34.3416,108.9398
2021-05-03,51,15.6,21.6,10.8,15.0,0.3,16.5,37.4,275,西安,陕西,西北,34.3416,108.9398
2021-05-04,3,18.5,23.8,13.6,16.5,0.0,12.5,31.3,274,西安,陕西,西北,34.3416,108.9398
2021-05-05,3,18.7,26.6,10.9,16.2,0.0,16.8,32.0,71,西安,陕西,西北,34.3416,108.9398
2021-05-06,3,22.3,31.1,14.8,20.9,0.0,14.5,30.6,203,西安,陕西,西北,34.3416,108.9398
2021-05-07,3,19.9,26.0,11.6,16.4,0.0,17.7,31.7,35,西安,陕西,西北,34.3416,108.9398
2021-05-08,1,24.0,33.8,13.6,22.1,0.0,14.7,26.3,184,西安,陕西,西北,34.3416,108.9398
2021-05-09,2,25.5,34.3,16.8,25.1,0.0,13.7,32.4,56,西安,陕西,西北,34.3416,108.9398
2021-05-10,51,26.0,33.0,18.9,25.6,0.1,16.9,36.0,101,西安,陕西,西北,34.3416,108.9398
2021-05-11,61,22.4,26.1,18.0,22.3,4.3,12.9,24.8,14,西安,陕西,西北,34.3416,108.9398
2021-05-12,3,23.8,30.5,16.1,23.7,0.0,20.4,37.1,99,西安,陕西,西北,34.3416,108.9398
