time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon
2021-04-16,61,13.2,16.2,11.1,11.6,6.8,18.4,37.1,13,贵阳,贵州,西南,26.647,106.6302
2021-04-17,53,12.5,15.8,10.3,11.1,4.6,12.9,27.7,76,贵阳,贵州,西南,26.647,106.6302
2021-04-18,53,12.4,16.1,9.9,11.3,6.1,14.3,25.9,119,贵阳,贵州,西南,26.647,106.6302
2021-04-19,53,13.6,18.2,10.4,12.4,3.2,20.5,39.6,141,贵阳,贵州,西南,26.647,106.6302
2021-04-20,63,15.9,20.9,14.0,15.6,12.4,15.8,29.9,149,贵阳,贵州,西南,26.647,106.6302
2021-04-21,63,17.3,23.8,14.1,17.5,14.4,15.7,35.6,56,贵阳,贵州,西南,26.647,106.6302
2021-04-22,51,19.6,25.3,15.4,19.5,1.0,24.4,47.5,159,贵阳,贵州,西南,26.647,106.6302
2021-04-23,53,20.8,24.5,18.2,19.9,4.0,30.7,58.3,170,贵阳,贵州,西南,26.647,106.6302
2021-04-24,61,20.1,23.8,15.6,20.8,7.8,20.4,41.4,62,贵阳,贵州,西南,26.647,106.6302
2021-04-25,63,12.3,14.9,9.7,10.3,14.4,19.6,37.4,61,贵阳,贵州,西南,26.647,106.6302
2021-04-26,61,13.0,17.4,9.6,11.4,5.8,15.6,28.8,37,贵阳,贵州,西南,26.647,106.6302
2021-04-27,61,14.6,18.6,11.5,13.4,4.3,13.1,29.5,56,贵阳,贵州,西南,26.647,106.6302
2021-04-28,55,13.6,17.0,11.6,12.1,4.6,17.1,35.6,44,贵阳,贵州,西南,26.647,106.6302
2021-04-29,51,16.2,22.8,9.9,15.8,0.1,11.8,28.1,218,贵阳,贵州,西南,26.647,106.6302
2021-04-30,3,18.0,24.4,11.2,17.4,0.0,18.8,39.2,190,贵阳,贵州,西南,26.647,106.6302
2021-05-01,3,20.1,25.7,13.4,20.7,0.0,17.9,34.9,181,贵阳,贵州,西南,26.647,106.6302
2021-05-02,61,19.7,23.9,17.5,19.7,7.3,24.2,49.0,172,贵阳,贵州,西南,26.647,106.6302
2021-05-03,61,20.3,25.1,17.6,20.3,7.8,28.5,53.3,203,贵阳,贵州,西南,26.647,106.6302
2021-05-04,63,16.7,18.6,14.1,16.7,23.4,16.8,32.4,41,贵阳,贵州,西南,26.647,106.6302
2021-05-05,51,15.0,18.5,12.2,14.2,0.9,13.4,28.4,101,贵阳,贵州,西南,26.647,106.6302
2021-05-06,53,16.4,20.2,14.1,16.4,6.5,12.8,27.0,159,贵阳,贵州,西南,26.647,106.6302
2021-05-07,61,16.5,19.9,13.4,16.5,11.5,19.8,38.5,4,贵阳,贵州,西南,26.647,106.6302
2021-05-08,3,18.0,23.1,13.1,18.5,0.0,9.3,21.6,327,贵阳,贵州,西南,26.647,106.6302
2021-05-09,61,19.3,25.2,14.6,19.7,2.9,20.3,41.0,186,贵阳,贵州,西南,26.647,106.6302
2021-05-10,51,21.6,26.0,18.5,21.4,1.3,27.2,56.9,192,贵阳,贵州,西南,26.647,106.6302
2021-05-11,51,20.0,24.0,17.2,20.9,0.4,16.5,35.3,355,贵阳,贵州,西南,26.647,106.6302
2021-05-12,61,20.1,25.4,16.4,21.0,13.5,17.4,32.8,158,贵阳,贵州,西南,26.647,106.6302
2021-05-13,63,20.6,25.5,17.5,20.6,13.4,25.3,51.5,188,贵阳,贵州,西南,26.647,106.6302
2021-05-14,51,22.3,27.0,18.5,21.2,0.3,35.1,68.4,189,贵阳,贵州,西南,26.647,106.6302
2021-05-15,61,22.8,27.6,18.8,22.8,2.3,28.2,59.8,193,贵阳,贵州,西南,26.647,106.6302
2021-05-16,63,17.6,21.1,14.9,16.3,7.8,23.0,51.1,344,贵阳,贵州,西南,26.647,106.6302
2021-05-17,53,16.0,19.2,14.2,15.1,2.6,19.9,39.2,15,贵阳,贵州,西南,26.647,106.6302
2021-05-18,55,16.1,19.9,13.6,15.8,4.2,13.2,27.7,74,贵阳,贵州,西南,26.647,106.6302
2021-05-19,61,17.1,20.6,14.8,17.2,4.9,14.8,35.3,26,贵阳,贵州,西南,26.647,106.6302
2021-05-20,53,17.7,20.6,15.2,17.8,1.2,11.7,23.4,84,贵阳,贵州,西南,26.647,106.6302
