time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon
2021-04-16,3,18.8,25.9,10.1,14.0,0.0,22.5,49.3,283,郑州,河南,华中,34.7466,113.6254
2021-04-17,2,15.5,21.2,8.1,11.6,0.0,18.3,35.3,334,郑州,河南,华中,34.7466,113.6254
2021-04-18,3,18.0,23.5,12.1,13.6,0.0,23.8,48.2,184,郑州,河南,华中,34.7466,113.6254
2021-04-19,2,19.3,25.8,12.6,16.6,0.0,18.0,39.2,179,郑州,河南,华中,34.7466,113.6254
2021-04-20,55,15.2,17.8,12.6,13.8,7.9,16.6,33.5,91,郑州,河南,华中,34.7466,113.6254
2021-04-21,51,12.9,15.2,11.5,11.4,2.3,15.8,31.0,42,郑州,河南,华中,34.7466,113.6254
2021-04-22,51,15.2,21.2,9.3,14.3,0.2,9.1,24.8,29,郑州,河南,华中,34.7466,113.6254
2021-04-23,51,15.5,20.1,10.4,14.1,0.5,17.9,32.8,64,郑州,河南,华中,34.7466,113.6254
2021-04-24,63,14.2,17.9,10.8,10.8,11.8,27.6,54.0,42,郑州,河南,华中,34.7466,113.6254
2021-04-25,3,15.0,18.2,12.5,12.4,0.0,19.9,41.4,43,郑州,河南,华中,34.7466,113.6254
2021-04-26,3,16.1,22.9,10.3,15.2,0.0,14.8,32.0,227,郑州,河南,华中,34.7466,113.6254
2021-04-27,3,20.4,26.2,15.3,17.7,0.0,23.2,41.8,278,郑州,河南,华中,34.7466,113.6254
2021-04-28,3,19.9,24.2,15.8,15.4,0.0,24.5,48.2,276,郑州,河南,华中,34.7466,113.6254
2021-04-29,0,21.9,29.1,16.0,17.1,0.0,34.9,68.0,274,郑州,河南,华中,34.7466,113.6254
2021-04-30,1,20.6,30.5,12.5,16.5,0.0,36.9,73.8,305,郑州,河南,华中,34.7466,113.6254
