time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon
2021-04-16,61,15.6,18.2,13.6,15.9,8.1,11.7,23.4,301,重庆,重庆,西南,29.563,106.5516
2021-04-17,51,16.8,20.0,13.6,17.6,1.1,9.3,19.8,62,重庆,重庆,西南,29.563,106.5516
2021-04-18,53,16.8,19.8,15.1,17.0,1.9,11.4,25.6,57,重庆,重庆,西南,29.563,106.5516
2021-04-19,53,17.4,21.6,14.7,17.4,0.6,11.5,22.0,53,重庆,重庆,西南,29.563,106.5516
2021-04-20,53,18.1,21.6,15.9,19.3,4.6,6.9,19.1,337,重庆,重庆,西南,29.563,106.5516
2021-04-21,51,19.2,23.2,15.3,20.5,0.3,7.2,16.9,50,重庆,重庆,西南,29.563,106.5516
2021-04-22,3,20.0,26.2,13.6,21.2,0.0,11.3,25.2,47,重庆,重庆,西南,29.563,106.5516
2021-04-23,61,22.1,25.0,19.4,24.5,7.6,17.0,32.0,38,重庆,重庆,西南,29.563,106.5516
2021-04-24,63,20.2,21.8,18.9,22.3,19.4,11.4,26.6,14,重庆,重庆,西南,29.563,106.5516
2021-04-25,61,18.0,19.9,17.0,18.9,10.3,10.4,20.5,49,重庆,重庆,西南,29.563,106.5516
2021-04-26,55,18.2,22.0,15.4,19.2,2.5,8.7,19.4,350,重庆,重庆,西南,29.563,106.5516
2021-04-27,51,20.0,23.8,16.6,21.8,0.9,8.2,20.9,92,重庆,重庆,西南,29.563,106.5516
2021-04-28,63,19.2,21.2,17.5,20.8,19.8,12.6,23.4,287,重庆,重庆,西南,29.563,106.5516
2021-04-29,3,20.1,26.0,13.7,21.5,0.0,9.7,21.6,79,重庆,重庆,西南,29.563,106.5516
2021-04-30,2,22.7,28.6,15.9,25.1,0.0,8.7,18.7,22,重庆,重庆,西南,29.563,106.5516
2021-05-01,3,25.5,31.6,19.6,29.2,0.0,10.8,17.6,81,重庆,重庆,西南,29.563,106.5516
2021-05-02,63,26.4,32.2,22.5,29.1,5.7,14.4,40.3,122,重庆,重庆,西南,29.563,106.5516
2021-05-03,65,22.9,25.0,21.0,25.9,35.1,14.1,58.7,84,重庆,重庆,西南,29.563,106.5516
2021-05-04,61,21.3,24.5,19.5,23.4,4.0,12.6,25.2,325,重庆,重庆,西南,29.563,106.5516
2021-05-05,63,17.6,20.1,15.6,18.4,25.4,10.8,21.2,278,重庆,重庆,西南,29.563,106.5516
2021-05-06,61,18.0,21.1,16.4,19.4,12.5,7.8,16.6,317,重庆,重庆,西南,29.563,106.5516
2021-05-07,51,19.1,22.0,16.9,20.7,0.6,7.7,18.4,52,重庆,重庆,西南,29.563,106.5516
2021-05-08,3,21.4,26.1,15.1,23.5,0.0,7.2,14.8,55,重庆,重庆,西南,29.563,106.5516
2021-05-09,3,23.9,30.7,17.0,26.6,0.0,9.9,23.4,65,重庆,重庆,西南,29.563,106.5516
2021-05-10,65,23.0,26.1,20.6,26.5,40.4,10.5,37.1,12,重庆,重庆,西南,29.563,106.5516
2021-05-11,63,21.9,25.2,19.7,24.5,4.6,10.9,23.4,278,重庆,重庆,西南,29.563,106.5516
2021-05-12,51,22.7,27.0,18.1,25.7,0.3,8.2,16.9,50,重庆,重庆,西南,29.563,106.5516
2021-05-13,65,23.2,26.5,21.1,26.4,28.3,10.4,29.2,60,重庆,重庆,西南,29.563,106.5516
2021-05-14,61,24.9,29.5,21.0,28.6,4.9,12.4,31.7,44,重庆,重庆,西南,29.563,106.5516
2021-05-15,63,23.2,25.9,20.5,25.6,10.1,16.6,34.2,324,重庆,重庆,西南,29.563,106.5516
2021-05-16,61,21.1,24.7,17.0,21.7,4.7,13.8,27.7,288,重庆,重庆,西南,29.563,106.5516
2021-05-17,51,21.3,24.5,17.9,23.0,0.7,7.2,18.0,59,重庆,重庆,西南,29.563,106.5516
2021-05-18,61,21.7,25.6,19.1,23.7,5.7,10.0,20.5,44,重庆,重庆,西南,29.563,106.5516
2021-05-19,61,21.9,25.1,19.7,24.5,6.9,7.3,16.9,19,重庆,重庆,西南,29.563,106.5516
2021-05-20,51,22.1,24.5,20.0,25.1,0.1,7.6,15.1,240,重庆,重庆,西南,29.563,106.5516
2021-05-21,51,23.0,25.5,21.0,26.2,0.5,8.9,18.0,32,重庆,重庆,西南,29.563,106.5516
2021-05-22,51,22.7,26.0,20.0,25.6,0.7,10.5,20.9,24,重庆,重庆,西南,29.563,106.5516
2021-05-23,53,20.0,21.8,17.9,21.0,2.5,17.6,32.0,318,重庆,重庆,西南,29.563,106.5516
2021-05-24,53,19.3,22.0,17.7,20.9,2.5,7.8,17.3,156,重庆,重庆,西南,29.563,106.5516
2021-05-25,53,19.6,21.7,17.7,21.4,2.3,10.8,20.2,36,重庆,重庆,西南,29.563,106.5516
2021-05-26,61,19.9,22.5,18.3,21.7,7.8,10.0,22.7,301,重庆,重庆,西南,29.563,106.5516
2021-05-27,3,21.2,26.1,17.5,23.6,0.0,8.2,18.0,61,重庆,重庆,西南,29.563,106.5516
2021-05-28,51,22.4,25.7,20.2,24.7,0.2,8.2,19.4,52,重庆,重庆,西南,29.563,106.5516
2021-05-29,55,21.0,23.5,19.0,23.6,2.9,5.3,14.0,76,重庆,重庆,西南,29.563,106.5516
2021-05-30,51,22.5,26.3,18.6,25.5,0.1,6.5,14.4,78,重庆,重庆,西南,29.563,106.5516
2021-05-31,51,24.9,29.4,21.5,29.0,0.2,6.8,13.3,56,重庆,重庆,西南,29.563,106.5516
2021-06-01,3,25.5,30.1,20.9,29.2,0.0,6.5,15.8,83,重庆,重庆,西南,29.563,106.5516
