time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon
2021-04-16,0,7.7,15.2,0.4,2.7,0.0,20.0,38.9,61,银川,宁夏,西北,38.4872,106.2309
2021-04-17,1,7.9,17.1,-0.6,4.0,0.0,10.1,20.2,109,银川,宁夏,西北,38.4872,106.2309
2021-04-18,3,11.8,21.5,2.5,8.6,0.0,11.9,21.6,51,银川,宁夏,西北,38.4872,106.2309
2021-04-19,3,14.3,20.2,7.7,10.2,0.0,12.7,24.5,31,银川,宁夏,西北,38.4872,106.2309
2021-04-20,3,15.9,22.9,7.5,12.3,0.0,17.4,32.8,51,银川,宁夏,西北,38.4872,106.2309
2021-04-21,51,16.1,22.3,10.6,14.0,0.4,14.5,33.5,145,银川,宁夏,西北,38.4872,106.2309
2021-04-22,3,16.7,24.0,8.8,14.3,0.0,15.7,32.0,41,银川,宁夏,西北,38.4872,106.2309
2021-04-23,53,16.4,20.2,13.9,14.0,1.3,22.2,40.7,80,银川,宁夏,西北,38.4872,106.2309
2021-04-24,55,10.4,13.7,7.3,7.9,9.7,21.3,39.6,162,银川,宁夏,西北,38.4872,106.2309
2021-04-25,3,9.9,15.8,5.2,7.1,0.0,19.0,33.1,203,银川,宁夏,西北,38.4872,106.2309
2021-04-26,3,8.6,14.0,2.4,4.2,0.0,19.5,37.8,221,银川,宁夏,西北,38.4872,106.2309
2021-04-27,3,9.1,13.5,3.3,4.0,0.0,22.0,45.0,280,银川,宁夏,西北,38.4872,106.2309
2021-04-28,3,11.3,17.8,4.2,5.5,0.0,31.9,58.7,266,银川,宁夏,西北,38.4872,106.2309
2021-04-29,3,16.8,22.9,11.4,12.8,0.0,17.4,36.4,265,银川,宁夏,西北,38.4872,106.2309
2021-04-30,3,16.5,22.5,11.2,12.6,0.0,28.7,50.0,331,银川,宁夏,西北,38.4872,106.2309
2021-05-01,3,19.2,29.1,9.9,15.4,0.0,15.2,26.6,123,银川,宁夏,西北,38.4872,106.2309
2021-05-02,3,19.6,26.8,13.2,16.6,0.0,21.7,43.6,175,银川,宁夏,西北,38.4872,106.2309
2021-05-03,3,13.9,17.1,8.8,10.3,0.0,27.7,47.2,200,银川,宁夏,西北,38.4872,106.2309
2021-05-04,3,11.7,17.8,4.4,7.4,0.0,15.3,35.3,332,银川,宁夏,西北,38.4872,106.2309
2021-05-05,3,14.4,23.1,5.4,9.2,0.0,20.9,42.1,231,银川,宁夏,西北,38.4872,106.2309
2021-05-06,0,15.0,20.6,9.1,9.6,0.0,24.2,47.2,39,银川,宁夏,西北,38.4872,106.2309
2021-05-07,3,15.2,25.2,5.1,10.5,0.0,12.6,28.1,195,银川,宁夏,西北,38.4872,106.2309
2021-05-08,3,21.6,30.2,10.8,17.1,0.0,18.2,33.5,234,银川,宁夏,西北,38.4872,106.2309
2021-05-09,3,23.3,32.5,12.6,18.3,0.0,28.9,49.7,354,银川,宁夏,西北,38.4872,106.2309
2021-05-10,3,19.2,23.7,15.1,16.1,0.0,18.6,41.0,23,银川,宁夏,西北,38.4872,106.2309
2021-05-11,3,22.0,29.5,14.8,18.7,0.0,21.9,44.6,192,银川,宁夏,西北,38.4872,106.2309
2021-05-12,0,22.7,30.5,15.2,20.6,0.0,16.6,27.7,181,银川,宁夏,西北,38.4872,106.2309
2021-05-13,1,24.7,31.9,17.3,22.6,0.0,25.1,43.2,165,银川,宁夏,西北,38.4872,106.2309
2021-05-14,53,19.7,26.7,12.1,16.6,1.5,30.2,54.0,44,银川,宁夏,西北,38.4872,106.2309
2021-05-15,51,12.8,15.7,9.8,8.5,0.9,19.9,37.4,28,银川,宁夏,西北,38.4872,106.2309
2021-05-16,3,13.5,20.3,6.3,10.2,0.0,11.7,26.3,66,银川,宁夏,西北,38.4872,106.2309
2021-05-17,3,16.3,23.5,8.5,13.2,0.0,12.3,25.6,177,银川,宁夏,西北,38.4872,106.2309
2021-05-18,3,18.6,26.6,9.9,15.3,0.0,16.0,29.2,191,银川,宁夏,西北,38.4872,106.2309
2021-05-19,55,17.7,21.6,13.2,14.9,1.6,24.1,44.3,279,银川,宁夏,西北,38.4872,106.2309
2021-05-20,1,20.0,27.4,12.3,16.5,0.0,15.6,34.6,222,银川,宁夏,西北,38.4872,106.2309
2021-05-21,3,21.2,29.3,12.9,18.5,0.0,14.0,29.5,191,银川,宁夏,西北,38.4872,106.2309
2021-05-22,3,16.9,19.8,12.2,13.4,0.0,17.2,34.2,273,银川,宁夏,西北,38.4872,106.2309
2021-05-23,2,15.1,20.8,9.0,10.4,0.0,23.8,47.9,271,银川,宁夏,西北,38.4872,106.2309
2021-05-24,0,17.0,23.0,8.7,11.6,0.0,32.1,61.6,277,银川,宁夏,西北,38.4872,106.2309
2021-05-25,3,19.6,28.4,9.2,15.0,0.0,20.4,40.0,229,银川,宁夏,西北,38.4872,106.2309
2021-05-26,0,20.8,24.9,15.6,16.1,0.0,23.9,42.1,277,银川,宁夏,西北,38.4872,106.2309
2021-05-27,0,22.1,30.3,13.1,16.8,0.0,31.3,55.4,349,银川,宁夏,西北,38.4872,106.2309
2021-05-28,3,20.6,28.9,12.1,16.9,0.0,15.9,35.3,199,银川,宁夏,西北,38.4872,106.2309
2021-05-29,3,24.9,33.3,15.4,20.7,0.0,22.5,45.7,267,银川,宁夏,西北,38.4872,106.2309
2021-05-30,3,24.6,32.1,17.1,21.6,0.0,13.4,30.6,15,银川,宁夏,西北,38.4872,106.2309
2021-05-31,51,22.7,27.9,18.4,18.8,0.5,23.6,48.2,303,银川,宁夏,西北,38.4872,106.2309
2021-06-01,3,22.6,31.0,12.9,17.6,0.0,28.5,54.7,298,银川,宁夏,西北,38.4872,106.2309
2021-06-02,3,20.4,26.4,16.7,15.9,0.0,23.1,46.1,10,银川,宁夏,西北,38.4872,106.2309
2021-06-03,3,18.6,25.0,11.1,15.2,0.0,15.0,32.0,35,银川,宁夏,西北,38.4872,106.2309
2021-06-04,3,22.2,29.9,12.8,18.4,0.0,15.1,34.6,255,银川,宁夏,西北,38.4872,106.2309
2021-06-05,3,24.7,32.8,16.0,21.4,0.0,13.5,27.4,358,银川,宁夏,西北,38.4872,106.2309
2021-06-06,3,24.9,30.0,19.6,21.0,0.0,26.6,51.8,245,银川,宁夏,西北,38.4872,106.2309
2021-06-07,51,24.2,29.0,18.3,22.5,0.7,16.9,36.4,335,银川,宁夏,西北,38.4872,106.2309
2021-06-08,61,24.6,31.2,17.0,22.9,2.0,16.1,28.4,27,银川,宁夏,西北,38.4872,106.2309
2021-06-09,63,18.6,23.5,14.1,16.3,11.4,23.9,54.0,28,银川,宁夏,西北,38.4872,106.2309
2021-06-10,3,20.1,27.5,12.8,19.0,0.0,19.2,32.0,52,银川,宁夏,西北,38.4872,106.2309
2021-06-11,61,21.0,26.5,15.5,21.1,5.5,13.4,29.2,142,银川,宁夏,西北,38.4872,106.2309
2021-06-12,3,24.1,30.9,16.4,24.6,0.0,17.7,32.4,138,银川,宁夏,西北,38.4872,106.2309
2021-06-13,3,25.7,31.4,19.1,25.7,0.0,17.8,28.8,103,银川,宁夏,西北,38.4872,106.2309
2021-06-14,53,22.0,26.5,18.2,22.2,3.9,17.1,31.0,201,银川,宁夏,西北,38.4872,106.2309
2021-06-15,61,23.1,30.0,17.7,23.0,3.5,19.3,34.2,217,银川,宁夏,西北,38.4872,106.2309
2021-06-16,53,17.8,21.4,15.1,16.6,2.7,16.7,34.6,202,银川,宁夏,西北,38.4872,106.2309
2021-06-17,3,19.5,26.6,12.5,18.0,0.0,12.7,27.4,231,银川,宁夏,西北,38.4872,106.2309
2021-06-18,3,22.8,29.0,16.6,21.1,0.0,9.4,18.0,322,银川,宁夏,西北,38.4872,106.2309
2021-06-19,3,24.6,31.6,17.0,21.9,0.0,15.5,28.4,218,银川,宁夏,西北,38.4872,106.2309
2021-06-20,3,24.7,30.0,20.0,22.3,0.0,17.6,28.8,271,银川,宁夏,西北,38.4872,106.2309
2021-06-21,2,25.2,32.9,16.4,23.4,0.0,17.7,35.3,342,银川,宁夏,西北,38.4872,106.2309
2021-06-22,3,26.0,34.7,17.8,24.0,0.0,17.0,31.3,78,银川,宁夏,西北,38.4872,106.2309
2021-06-23,3,27.8,34.0,21.8,26.1,0.0,21.0,37.8,178,银川,宁夏,西北,38.4872,106.2309
2021-06-24,3,24.8,28.1,21.0,23.6,0.0,25.7,49.7,23,银川,宁夏,西北,38.4872,106.2309
2021-06-25,3,25.4,32.1,18.6,24.9,0.0,10.5,24.5,213,银川,宁夏,西北,38.4872,106.2309
2021-06-26,3,27.6,33.8,20.4,26.5,0.0,19.9,37.4,324,银川,宁夏,西北,38.4872,106.2309
2021-06-27,3,30.0,36.7,23.3,27.9,0.0,16.7,29.5,27,银川,宁夏,西北,38.4872,106.2309
2021-06-28,3,28.2,34.2,24.3,26.2,0.0,22.5,43.2,220,银川,宁夏,西北,38.4872,106.2309
2021-06-29,2,26.8,33.3,20.9,24.3,0.0,21.8,45.4,287,银川,宁夏,西北,38.4872,106.2309
2021-06-30,3,27.2,34.3,18.8,23.7,0.0,18.5,40.0,241,银川,宁夏,西北,38.4872,106.2309
2021-07-01,3,27.2,34.0,18.9,24.0,0.0,23.3,39.6,238,银川,宁夏,西北,38.4872,106.2309
2021-07-02,51,25.7,30.1,18.6,22.9,0.5,28.6,51.1,248,银川,宁夏,西北,38.4872,106.2309
2021-07-03,1,26.0,34.3,17.2,24.2,0.0,10.8,23.0,176,银川,宁夏,西北,38.4872,106.2309
2021-07-04,2,27.9,35.9,20.0,24.9,0.0,22.1,38.2,196,银川,宁夏,西北,38.4872,106.2309
