time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon
2021-04-17,51,4.7,8.1,1.6,0.7,0.9,20.5,37.8,276,长春,吉林,东北,43.8171,125.3235
2021-04-18,0,6.9,14.9,-2.0,3.0,0.0,17.4,35.6,213,长春,吉林,东北,43.8171,125.3235
2021-04-19,2,12.0,20.8,4.8,7.5,0.0,27.1,49.0,287,长春,吉林,东北,43.8171,125.3235
2021-04-20,3,8.8,16.0,-0.4,5.1,0.0,11.3,24.5,101,长春,吉林,东北,43.8171,125.3235
2021-04-21,3,16.0,24.9,6.8,11.9,0.0,28.3,52.9,205,长春,吉林,东北,43.8171,125.3235
2021-04-22,53,14.8,22.5,9.6,11.3,1.8,26.2,50.4,183,长春,吉林,东北,43.8171,125.3235
2021-04-23,51,11.5,14.7,9.4,9.9,1.2,12.8,24.5,28,长春,吉林,东北,43.8171,125.3235
2021-04-24,51,7.7,11.6,3.1,3.6,0.1,23.5,44.6,8,长春,吉林,东北,43.8171,125.3235
2021-04-25,3,8.6,16.9,-1.5,4.6,0.0,14.1,31.0,358,长春,吉林,东北,43.8171,125.3235
2021-04-26,3,12.9,20.6,3.0,8.2,0.0,24.1,41.8,190,长春,吉林,东北,43.8171,125.3235
2021-04-27,51,12.9,16.4,10.2,8.0,0.2,30.0,54.0,215,长春,吉林,东北,43.8171,125.3235
2021-04-28,51,9.3,13.4,4.9,3.4,0.1,34.2,65.2,245,长春,吉林,东北,43.8171,125.3235
2021-04-29,61,9.6,16.0,4.6,5.2,3.2,27.6,56.5,202,长春,吉林,东北,43.8171,125.3235
2021-04-30,53,6.3,11.1,3.2,2.8,2.0,14.1,32.4,338,长春,吉林,东北,43.8171,125.3235
2021-05-01,3,7.8,14.2,-0.3,4.2,0.0,20.2,37.1,35,长春,吉林,东北,43.8171,125.3235
2021-05-02,3,10.0,17.0,1.1,7.0,0.0,12.3,27.4,284,长春,吉林,东北,43.8171,125.3235
2021-05-03,51,14.2,20.4,7.2,9.0,0.5,34.2,73.8,192,长春,吉林,东北,43.8171,125.3235
2021-05-04,51,11.7,16.5,8.4,6.9,0.5,25.7,45.0,210,长春,吉林,东北,43.8171,125.3235
2021-05-05,51,11.7,16.5,6.8,6.2,0.1,33.5,61.6,244,长春,吉林,东北,43.8171,125.3235
2021-05-06,3,17.0,24.6,9.2,11.7,0.0,35.7,75.6,207,长春,吉林,东北,43.8171,125.3235
2021-05-07,53,11.5,15.2,8.2,7.4,1.1,26.5,64.4,238,长春,吉林,东北,43.8171,125.3235
2021-05-08,53,7.9,10.9,5.6,2.4,3.7,35.7,69.5,259,长春,吉林,东北,43.8171,125.3235
2021-05-09,3,10.8,16.9,4.8,6.1,0.0,28.5,53.6,313,长春,吉林,东北,43.8171,125.3235
2021-05-10,51,12.1,19.1,3.0,9.1,0.7,19.2,38.5,203,长春,吉林,东北,43.8171,125.3235
2021-05-11,3,15.1,22.3,4.2,11.5,0.0,27.9,47.5,173,长春,吉林,东北,43.8171,125.3235
2021-05-12,61,16.6,22.0,11.0,11.4,3.2,33.7,74.5,229,长春,吉林,东北,43.8171,125.3235
2021-05-13,3,17.5,23.4,11.9,15.1,0.0,18.1,32.0,232,长春,吉林,东北,43.8171,125.3235
2021-05-14,53,18.7,23.6,10.6,16.5,1.2,27.1,52.6,195,长春,吉林,东北,43.8171,125.3235
2021-05-15,61,13.5,19.4,6.9,10.7,4.7,29.3,50.8,267,长春,吉林,东北,43.8171,125.3235
2021-05-16,3,14.0,21.2,6.2,11.2,0.0,11.7,19.8,261,长春,吉林,东北,43.8171,125.3235
2021-05-17,0,18.2,25.8,10.1,14.8,0.0,18.1,35.6,239,长春,吉林,东北,43.8171,125.3235
2021-05-18,3,22.5,29.9,14.4,17.8,0.0,27.8,54.4,207,长春,吉林,东北,43.8171,125.3235
2021-05-19,2,23.2,29.5,16.5,19.5,0.0,28.2,50.8,221,长春,吉林,东北,43.8171,125.3235
2021-05-20,3,23.1,28.5,18.0,19.8,0.0,27.7,52.2,216,长春,吉林,东北,43.8171,125.3235
2021-05-21,3,21.6,28.5,14.1,20.2,0.0,16.2,31.0,233,长春,吉林,东北,43.8171,125.3235
2021-05-22,2,24.3,31.5,17.1,21.8,0.0,24.7,47.5,217,长春,吉林,东北,43.8171,125.3235
2021-05-23,61,16.6,21.9,10.4,13.8,8.5,34.4,61.2,226,长春,吉林,东北,43.8171,125.3235
2021-05-24,51,13.3,17.5,9.3,8.4,0.3,31.0,60.5,243,长春,吉林,东北,43.8171,125.3235
2021-05-25,3,14.0,19.2,6.8,9.5,0.0,23.2,44.6,244,长春,吉林,东北,43.8171,125.3235
2021-05-26,51,15.3,20.7,9.9,11.1,0.1,22.9,43.9,224,长春,吉林,东北,43.8171,125.3235
2021-05-27,3,15.3,22.2,6.4,12.8,0.0,13.2,29.5,159,长春,吉林,东北,43.8171,125.3235
2021-05-28,51,14.4,18.0,11.1,12.6,1.3,12.0,26.3,358,长春,吉林,东北,43.8171,125.3235
2021-05-29,51,16.2,21.6,7.9,14.1,0.2,15.3,31.0,315,长春,吉林,东北,43.8171,125.3235
2021-05-30,51,17.0,23.7,11.2,14.5,0.9,19.9,40.7,214,长春,吉林,东北,43.8171,125.3235
2021-05-31,3,19.7,26.0,10.8,17.7,0.0,16.0,32.0,183,长春,吉林,东北,43.8171,125.3235
2021-06-01,61,18.8,23.8,13.8,16.0,4.2,27.4,51.5,234,长春,吉林,东北,43.8171,125.3235
2021-06-02,63,15.7,20.2,12.4,14.5,23.7,25.0,61.2,172,长春,吉林,东北,43.8171,125.3235
2021-06-03,61,14.1,17.1,10.1,11.2,2.2,30.9,61.9,235,长春,吉林,东北,43.8171,125.3235
2021-06-04,63,14.0,19.9,8.4,11.9,9.9,26.5,50.0,248,长春,吉林,东北,43.8171,125.3235
2021-06-05,63,14.5,18.2,11.8,12.7,10.9,22.4,51.1,281,长春,吉林,东北,43.8171,125.3235
