time,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,city,province,region,lat,lon
2021-04-16,53,17.2,20.5,14.2,18.2,3.3,12.7,26.3,347,长沙,湖南,华中,28.2282,112.9388
2021-04-17,3,18.5,23.8,13.9,18.8,0.0,15.8,33.1,354,长沙,湖南,华中,28.2282,112.9388
2021-04-18,53,16.2,17.6,14.4,16.3,4.3,9.8,21.6,348,长沙,湖南,华中,28.2282,112.9388
2021-04-19,61,17.0,21.0,13.5,17.5,3.1,9.8,22.7,144,长沙,湖南,华中,28.2282,112.9388
2021-04-20,53,20.1,24.5,15.8,21.4,2.6,17.3,34.2,142,长沙,湖南,华中,28.2282,112.9388
2021-04-21,55,20.8,24.5,18.3,23.1,5.8,16.6,37.1,336,长沙,湖南,华中,28.2282,112.9388
2021-04-22,61,19.5,22.9,17.1,20.2,10.0,14.8,36.0,330,长沙,湖南,华中,28.2282,112.9388
2021-04-23,3,20.4,25.9,15.8,22.2,0.0,10.4,20.5,350,长沙,湖南,华中,28.2282,112.9388
2021-04-24,63,18.8,21.1,15.0,19.3,20.2,22.7,42.8,2,长沙,湖南,华中,28.2282,112.9388
2021-04-25,53,16.5,19.0,14.8,15.1,2.5,22.7,43.2,346,长沙,湖南,华中,28.2282,112.9388
2021-04-26,53,16.4,18.6,15.0,15.9,2.1,15.6,31.7,338,长沙,湖南,华中,28.2282,112.9388
2021-04-27,61,16.4,18.9,14.6,16.5,5.4,13.4,27.7,325,长沙,湖南,华中,28.2282,112.9388
2021-04-28,55,17.5,21.9,14.8,18.2,3.0,12.3,24.8,325,长沙,湖南,华中,28.2282,112.9388
2021-04-29,3,19.7,26.0,12.1,20.2,0.0,16.3,34.2,202,长沙,湖南,华中,28.2282,112.9388
2021-04-30,2,23.2,30.0,16.8,24.1,0.0,16.8,34.2,195,长沙,湖南,华中,28.2282,112.9388
2021-05-01,3,24.3,30.2,17.0,27.0,0.0,11.0,20.9,194,长沙,湖南,华中,28.2282,112.9388
2021-05-02,3,25.4,31.0,18.9,28.6,0.0,13.4,25.9,145,长沙,湖南,华中,28.2282,112.9388
2021-05-03,63,24.8,28.3,18.5,26.5,21.6,28.1,58.3,170,长沙,湖南,华中,28.2282,112.9388
